changeFrom,changeTo,first,last
cs616_wcr_Avg_12,cs616_wcr_Avg_11,2009-02-18 18:00,2009-03-05 14:00
cs616_wcr_Avg_11,cs616_wcr_Avg_15,2009-02-18 18:00,2009-03-05 14:00
cs616_wcr_Avg_15,cs616_wcr_Avg_12,2009-02-18 18:00,2009-03-05 14:00
SWC_S2_52p5_Avg,SWC_S2_2p5_Avg,2014-01-17 14:30,2014-01-22 11:30
SWC_S2_2p5_Avg,SWC_S2_52p5_Avg,2014-01-17 14:30,2014-01-22 11:30
SoilT_O1_2p5_Avg,SoilT_O1_12p5_Avg,2014-04-02 08:30,2014-11-05 10:00
SoilT_O1_12p5_Avg,SoilT_O1_22p5_Avg,2014-04-02 08:30,2014-11-05 10:00
SoilT_O1_22p5_Avg,SoilT_O1_2p5_Avg,2014-04-02 08:30,2014-11-05 10:00
