current,previous1,previous2,previous3
SoilT_S2_2p5_Avg,soilt_S2_2p5_Avg,mux25t_signal_Avg_16,
SoilT_S2_12p5_Avg,soilt_S2_12p5_Avg,mux25t_signal_Avg_17,
SoilT_S2_22p5_Avg,soilt_S2_22p5_Avg,mux25t_signal_Avg_18,
SoilT_S2_37p5_Avg,soilt_S2_37p5_Avg,mux25t_signal_Avg_19,
SoilT_S2_52p5_Avg,soilt_S2_52p5_Avg,mux25t_signal_Avg_20,
Soil_CO2_S1_5_Avg,soil_co2_shrub1_5cm_Avg,,
Soil_CO2_S1_10_Avg,soil_co2_shrub1_10cm_Avg,,
Soil_CO2_S1_20_Avg,soil_co2_shrub1_20cm_Avg,,
Soil_CO2_S1_50_Avg,soil_co2_shrub1_50cm_Avg,,
Soil_CO2_S2_5_Avg,soil_co2_shrub2_5cm_Avg,,
Soil_CO2_S2_10_Avg,soil_co2_shrub2_10cm_Avg,,
Soil_CO2_S2_20_Avg,soil_co2_shrub2_20cm_Avg,,
Soil_CO2_S2_50_Avg,soil_co2_shrub2_50cm_Avg,,
Soil_CO2_S3_5_Avg,soil_co2_shrub3_5cm_Avg,,
Soil_CO2_S3_10_Avg,soil_co2_shrub3_10cm_Avg,,
Soil_CO2_S3_20_Avg,soil_co2_shrub3_20cm_Avg,,
Soil_CO2_S3_50_Avg,soil_co2_shrub3_50cm_Avg,,
shf_sh_1_Avg,hfp01_1_Avg,shf_Avg_1,
shf_sh_2_Avg,hfp01_2_Avg,shf_Avg_2,
shf_gr_1_Avg,hfp01_3_Avg,,
shf_gr_2_Avg,hfp01_4_Avg,,
shf_op_1_Avg,hfp01_5_Avg,,
shf_op_2_Avg,hfp01_6_Avg,,
TCAV_Avg,,,
