af_mapping,qc_mapping,desc,current,TOA5_MCon_2006_08_31_1000,TOA5_MCon_2006_12_04_1930,TOA5_MCon_2007_06_07_1930,TOA5_MCon_2008_03_23_1400,TOA5_MCon_2008_07_08_1330,TOA5_MCon_2010_06_18_1600,TOA5_MCon_2013_11_12_1830,TOA5_MCon_2014_01_09_1600,TOA5_MCon_2014_01_14_1600,TOA5_MCon_2014_02_18_1800,TOA5_MCon_2014_03_20_1230,TOA5_MCon_2014_06_20_1130,TOA5_MCon_2016_04_06_1200
NaN,,NaN,Rad_long_Dn_Avg,dne,Rad_long_Dn__Avg,Rad_long_Dn__Avg,Rad_long_Dn__Avg,Rad_long_Dn__Avg,Rad_long_Dn__Avg,Rad_long_Dn__Avg,Rad_long_Dn__Avg,Rad_long_Dn__Avg,Rad_long_Dn__Avg,current,Rad_long_Dn,current
NaN,,NaN,Rad_long_Up_Avg,dne,Rad_long_Up__Avg,Rad_long_Up__Avg,Rad_long_Up__Avg,Rad_long_Up__Avg,Rad_long_Up__Avg,Rad_long_Up__Avg,Rad_long_Up__Avg,Rad_long_Up__Avg,Rad_long_Up__Avg,current,current,current
NaN,,NaN,Rad_short_Up_Avg,dne,current,current,current,current,current,current,current,current,current,current,current,current
NaN,,NaN,Rad_short_Dn_Avg,dne,current,current,current,current,current,current,current,current,current,current,current,current
NaN,,NaN,NetTot_Avg,dne,current,current,current,current,current,current,current,current,current,current,current,current
NaN,,NaN,NetRs_Avg,dne,current,current,current,current,current,current,current,current,current,current,current,current
NaN,,NaN,NetRl_Avg,dne,current,current,current,current,current,current,current,current,current,current,current,current
NaN,,NaN,par_facedown_Avg,dne,dne,dne,dne,dne,par_down_Avg,current,current,current,current,current,current,current
NaN,,NaN,par_faceup_Avg,dne,dne,par_Avg,dne,par_Avg,par_up_Avg,current,current,current,current,current,current,current
NaN,,NaN,CNR1TC_Avg,dne,current,current,current,current,current,current,current,current,current,current,current,current
NaN,,NaN,rho_a_mean_Avg,rho_a_Avg,rho_a_Avg,rho_a_Avg,rho_a_Avg,rho_a_Avg,rho_a_Avg,rho_a_Avg,current,current,current,current,current,current
NaN,,NaN,sig_lck_f_Tot,dne,track_f_Tot,track_f_Tot,track_f_Tot,track_f_Tot,track_f_Tot,track_f_Tot,current,current,current,current,current,current
NaN,,NaN,low12V_5000_Tot,dne,current,current,current,current,current,current,current,current,current,current,current,current
NaN,,NaN,panelT_5000_Avg,dne,current,current,current,current,current,current,current,panelT_5000_in_Avg,current,current,current,current
NaN,,NaN,echo_h2o_Avg,dne,dne,dne,dne,dne,current,dne,dne,dne,dne,dne,dne,dne
NaN,SWC_P1_5_AVG,NaN,SWC_P1_5_Avg,dne,dne,dne,dne,dne,dne,current,current,current,current,current,current,current
NaN,SWC_P1_10_AVG,NaN,SWC_P1_10_Avg,dne,dne,dne,dne,dne,dne,current,current,current,current,current,current,current
