af_mapping,qc_mapping,desc,current,TOA5_PJ_2007_11_09_1730,TOA5_PJ_2008_02_11_1700,TOA5_PJ_2008_06_19_1200,TOA5_PJ_2008_08_02_1230,TOA5_PJ_2009_06_17_1330,TOA5_PJ_2010_05_31_1730,TOA5_PJ_2013_07_12_1200,TOA5_PJ_2014_01_10_1600,TOA5_PJ_2014_03_21_1100,TOA5_PJ_2014_03_26_1430
NaN,,NaN,Rad_long_Up_Avg,dne,Rad_long_Up__Avg,Rad_long_Up__Avg,Rad_long_Up__Avg,Rad_long_Up__Avg,Rad_long_Up__Avg,Rad_long_Up__Avg,Rad_long_Up__Avg,current,current
NaN,,NaN,rho_a_mean_Avg,rho_a_Avg,rho_a_Avg,rho_a_Avg,rho_a_Avg,rho_a_Avg,rho_a_Avg,rho_a_Avg,current,current,current
NaN,,NaN,sig_lck_f_Tot,track_f_Tot,track_f_Tot,track_f_Tot,track_f_Tot,track_f_Tot,track_f_Tot,track_f_Tot,current,current,current
NaN,,NaN,low12V_5000_Tot,low12V_5000,low12V_5000,low12V_5000,low12V_5000,low12V_5000,low12V_5000,low12V_5000,current,current,current
NaN,,NaN,canopyE_IRT_Avg,dne,dne,dne,dne,dne,dne,canopy_IRT_Avg,canopy_IRT_Avg,canopy_IRT_Avg,current
NaN,,NaN,CNR1TC_Avg,dne,current,current,current,current,current,current,current,current,current
NaN,SOILT_AVG,NaN,Tsoil_Avg,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne
NaN,SOILT_P1_5_AVG,NaN,T_P1_5_AVG,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne
NaN,SOILT_P1_10_AVG,NaN,T_P1_10_AVG,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne
NaN,SOILT_P1_30_AVG,NaN,T_P1_30_AVG,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne
NaN,SOILT_P2_5_AVG,NaN,T_P2_5_AVG,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne
NaN,SOILT_P2_10_AVG,NaN,T_P2_10_AVG,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne
NaN,SOILT_P2_30_AVG,NaN,T_P2_30_AVG,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne
NaN,SOILT_P3_5_AVG,NaN,T_P3_5_AVG,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne
NaN,SOILT_P3_10_AVG,NaN,T_P3_10_AVG,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne
NaN,SOILT_P3_30_AVG,NaN,T_P3_30_AVG,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne
NaN,SOILT_J1_5_AVG,NaN,T_J1_5_AVG,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne
NaN,SOILT_J1_10_AVG,NaN,T_J1_10_AVG,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne
NaN,SOILT_J1_30_AVG,NaN,T_J1_30_AVG,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne
NaN,SOILT_J2_5_AVG,NaN,T_J2_5_AVG,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne
NaN,SOILT_J2_10_AVG,NaN,T_J2_10_AVG,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne
NaN,SOILT_J2_30_AVG,NaN,T_J2_30_AVG,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne
NaN,SOILT_J3_5_AVG,NaN,T_J3_5_AVG,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne
NaN,SOILT_J3_10_AVG,NaN,T_J3_10_AVG,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne
NaN,SOILT_J3_30_AVG,NaN,T_J3_30_AVG,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne
NaN,SOILT_O1_5_AVG,NaN,T_O1_5_AVG,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne
NaN,SOILT_O1_10_AVG,NaN,T_O1_10_AVG,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne
NaN,SOILT_O1_30_AVG,NaN,T_O1_30_AVG,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne
NaN,SOILT_O2_5_AVG,NaN,T_O2_5_AVG,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne
NaN,SOILT_O2_10_AVG,NaN,T_O2_10_AVG,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne
NaN,SOILT_O2_30_AVG,NaN,T_O2_30_AVG,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne
NaN,SOILT_O3_5_AVG,NaN,T_O3_5_AVG,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne
NaN,SOILT_O3_10_AVG,NaN,T_O3_10_AVG,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne
NaN,SOILT_O3_30_AVG,NaN,T_O3_30_AVG,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne
NaN,SOILT_P4_5_AVG,NaN,T_P4_5_AVG,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne
NaN,SOILT_P4_10_AVG,NaN,T_P4_10_AVG,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne
NaN,SOILT_P4_30_AVG,NaN,T_P4_30_AVG,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne
NaN,SOILT_P5_5_AVG,NaN,T_P5_5_AVG,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne
NaN,SOILT_P5_10_AVG,NaN,T_P5_10_AVG,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne
NaN,SOILT_P5_30_AVG,NaN,T_P5_30_AVG,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne
NaN,SWC_P1_5_AVG,NaN,WC_P1_5_AVG,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne
NaN,SWC_P1_10_AVG,NaN,WC_P1_10_AVG,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne
NaN,SWC_P1_30_AVG,NaN,WC_P1_30_AVG,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne
NaN,SWC_P2_5_AVG,NaN,WC_P2_5_AVG,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne
NaN,SWC_P2_10_AVG,NaN,WC_P2_10_AVG,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne
NaN,SWC_P2_30_AVG,NaN,WC_P2_30_AVG,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne
NaN,SWC_P3_5_AVG,NaN,WC_P3_5_AVG,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne
NaN,SWC_P3_10_AVG,NaN,WC_P3_10_AVG,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne
NaN,SWC_P3_30_AVG,NaN,WC_P3_30_AVG,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne
NaN,SWC_J1_5_AVG,NaN,WC_J1_5_AVG,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne
NaN,SWC_J1_10_AVG,NaN,WC_J1_10_AVG,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne
NaN,SWC_J1_30_AVG,NaN,WC_J1_30_AVG,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne
NaN,SWC_J2_5_AVG,NaN,WC_J2_5_AVG,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne
NaN,SWC_J2_10_AVG,NaN,WC_J2_10_AVG,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne
NaN,SWC_J2_30_AVG,NaN,WC_J2_30_AVG,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne
NaN,SWC_J3_5_AVG,NaN,WC_J3_5_AVG,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne
NaN,SWC_J3_10_AVG,NaN,WC_J3_10_AVG,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne
NaN,SWC_J3_30_AVG,NaN,WC_J3_30_AVG,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne
NaN,SWC_O1_5_AVG,NaN,WC_O1_5_AVG,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne
NaN,SWC_O1_10_AVG,NaN,WC_O1_10_AVG,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne
NaN,SWC_O1_30_AVG,NaN,WC_O1_30_AVG,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne
NaN,SWC_P4_5_AVG,NaN,WC_P4_5_AVG,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne
NaN,SWC_P4_10_AVG,NaN,WC_P4_10_AVG,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne
NaN,SWC_P4_30_AVG,NaN,WC_P4_30_AVG,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne
NaN,SWC_P5_5_AVG,NaN,WC_P5_5_AVG,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne
NaN,SWC_P5_10_AVG,NaN,WC_P5_10_AVG,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne
NaN,SWC_P5_30_AVG,NaN,WC_P5_30_AVG,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne
NaN,SWC_O2_5_AVG,NaN,WC_O2_5_AVG,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne
NaN,SWC_O2_10_AVG,NaN,WC_O2_10_AVG,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne
NaN,SWC_O2_30_AVG,NaN,WC_O2_30_AVG,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne
NaN,SWC_O3_5_AVG,NaN,WC_O3_5_AVG,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne
NaN,SWC_O3_10_AVG,NaN,WC_O3_10_AVG,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne
NaN,SWC_O3_30_AVG,NaN,WC_O3_30_AVG,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne
NaN,SHF_P1_AVG,NaN,shf_P1_AVG,dne,shf_pinon_1_Avg,shf_pinon_1_Avg,shf_pinon_1_Avg,dne,dne,dne,dne,dne,dne
NaN,SHF_P2_AVG,NaN,shf_P2_AVG,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne
NaN,SHF_P3_AVG,NaN,shf_P3_AVG,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne
NaN,SHF_J1_AVG,NaN,shf_J1_AVG,dne,shf_jun_1_Avg,shf_jun_1_Avg,shf_jun_1_Avg,dne,dne,dne,dne,dne,dne
NaN,SHF_J2_AVG,NaN,shf_J2_AVG,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne
NaN,SHF_J3_AVG,NaN,shf_J3_AVG,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne
NaN,SHF_O1_AVG,NaN,shf_O1_AVG,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne
NaN,SHF_O2_AVG,NaN,shf_O2_AVG,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne
NaN,SHF_O3_AVG,NaN,shf_O3_AVG,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne
NaN,TCAV_P1_AVG,NaN,tcav_pinon_1_Avg,dne,current,current,current,dne,dne,dne,dne,dne,dne
NaN,TCAV_J1_AVG,NaN,tcav_jun_1_Avg,dne,current,current,current,dne,dne,dne,dne,dne,dne
NaN,,NaN,sap_P1a_AVG,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne
NaN,,NaN,sap_P1b_AVG,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne
NaN,,NaN,sap_P2a_AVG,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne
NaN,,NaN,sap_P2b_AVG,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne
NaN,,NaN,sap_P3a_AVG,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne
NaN,,NaN,sap_P3b_AVG,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne
NaN,,NaN,sap_P4a_AVG,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne
NaN,,NaN,sap_P4b_AVG,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne
NaN,,NaN,sap_P5a_AVG,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne
NaN,,NaN,sap_P5b_AVG,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne
NaN,,NaN,sap_J1a_AVG,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne
NaN,,NaN,sap_J1b_AVG,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne
NaN,,NaN,sap_J2a_AVG,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne
NaN,,NaN,sap_J2b_AVG,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne
NaN,,NaN,sap_J3a_AVG,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne
NaN,,NaN,sap_J3b_AVG,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne
NaN,,NaN,sap_J4a_AVG,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne
NaN,,NaN,sap_J4b_AVG,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne
NaN,,NaN,sap_J5a_AVG,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne
NaN,,NaN,sap_J5b_AVG,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne
NaN,,NaN,SCO2_P15_AVG,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne
NaN,,NaN,SCO2_P110_AVG,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne
NaN,,NaN,SCO2_P120_AVG,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne
NaN,,NaN,SCO2_P140_AVG,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne
NaN,,NaN,SCO2_P25_AVG,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne
NaN,,NaN,SCO2_P210_AVG,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne
NaN,,NaN,SCO2_P220_AVG,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne
NaN,,NaN,SCO2_P240_AVG,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne
NaN,,NaN,SCO2_P35_AVG,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne
NaN,,NaN,SCO2_P310_AVG,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne
NaN,,NaN,SCO2_P330_AVG,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne
NaN,,NaN,SCO2_P25_AVG,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne
NaN,,NaN,SCO2_P210_AVG,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne
NaN,,NaN,SCO2_P230_AVG,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne
NaN,,NaN,SCO2_P45_AVG,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne
NaN,,NaN,SCO2_P410_AVG,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne
NaN,,NaN,SCO2_P430_AVG,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne
NaN,,NaN,SCO2_P55_AVG,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne
NaN,,NaN,SCO2_P510_AVG,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne
NaN,,NaN,SCO2_P530_AVG,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne
NaN,,NaN,SCO2_J15_AVG,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne
NaN,,NaN,SCO2_J110_AVG,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne
NaN,,NaN,SCO2_J130_AVG,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne
NaN,,NaN,SCO2_J25_AVG,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne
NaN,,NaN,SCO2_J120_AVG,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne
NaN,,NaN,SCO2_J150_AVG,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne
NaN,,NaN,SCO2_J220_AVG,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne
NaN,,NaN,SCO2_J250_AVG,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne
NaN,,NaN,SCO2_J210_AVG,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne
NaN,,NaN,SCO2_J230_AVG,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne
NaN,,NaN,NDVIu532_AVG,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne
NaN,,NaN,NDVIu568_AVG,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne
NaN,,NaN,NDVIu676_AVG,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne
NaN,,NaN,NDVIu798_AVG,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne
NaN,,NaN,NDVId532_AVG,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne
NaN,,NaN,NDVId568_AVG,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne
NaN,,NaN,NDVId676_AVG,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne
NaN,,NaN,NDVId4_AVG,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne
NaN,SWC_echo_wcr_1_1,NaN,echo_wcr_1_1,dne,dne,dne,current,dne,dne,dne,dne,dne,dne
NaN,SWC_echo_wcr_1_2,NaN,echo_wcr_1_2,dne,dne,dne,current,dne,dne,dne,dne,dne,dne
NaN,SWC_echo_wcr_1_3,NaN,echo_wcr_1_3,dne,dne,dne,current,dne,dne,dne,dne,dne,dne
NaN,SWC_echo_wcr_2_1,NaN,echo_wcr_2_1,dne,dne,dne,current,dne,dne,dne,dne,dne,dne
NaN,SWC_echo_wcr_2_2,NaN,echo_wcr_2_2,dne,dne,dne,current,dne,dne,dne,dne,dne,dne
NaN,SWC_echo_wcr_2_3,NaN,echo_wcr_2_3,dne,dne,dne,current,dne,dne,dne,dne,dne,dne
NaN,SWC_echo_wcr_3_1,NaN,echo_wcr_3_1,dne,dne,dne,current,dne,dne,dne,dne,dne,dne
NaN,SWC_echo_wcr_3_2,NaN,echo_wcr_3_2,dne,dne,dne,current,dne,dne,dne,dne,dne,dne
NaN,SWC_echo_wcr_3_3,NaN,echo_wcr_3_3,dne,dne,dne,current,dne,dne,dne,dne,dne,dne
NaN,SWC_echo_wcr_4_1,NaN,echo_wcr_4_1,dne,dne,dne,current,dne,dne,dne,dne,dne,dne
NaN,SWC_echo_wcr_4_2,NaN,echo_wcr_4_2,dne,dne,dne,current,dne,dne,dne,dne,dne,dne
NaN,SWC_echo_wcr_4_3,NaN,echo_wcr_4_3,dne,dne,dne,current,dne,dne,dne,dne,dne,dne
NaN,SWC_echo_wcr_5_1,NaN,echo_wcr_5_1,dne,dne,dne,current,dne,dne,dne,dne,dne,dne
NaN,SWC_echo_wcr_5_2,NaN,echo_wcr_5_2,dne,dne,dne,current,dne,dne,dne,dne,dne,dne
NaN,SWC_echo_wcr_5_3,NaN,echo_wcr_5_3,dne,dne,dne,current,dne,dne,dne,dne,dne,dne
NaN,SWC_echo_wcr_6_1,NaN,echo_wcr_6_1,dne,dne,dne,current,dne,dne,dne,dne,dne,dne
NaN,SWC_echo_wcr_6_2,NaN,echo_wcr_6_2,dne,dne,dne,current,dne,dne,dne,dne,dne,dne
NaN,SWC_echo_wcr_6_3,NaN,echo_wcr_6_3,dne,dne,dne,current,dne,dne,dne,dne,dne,dne
NaN,SWC_echo_wcr_7_1,NaN,echo_wcr_7_1,dne,dne,dne,current,dne,dne,dne,dne,dne,dne
NaN,SWC_echo_wcr_7_2,NaN,echo_wcr_7_2,dne,dne,dne,current,dne,dne,dne,dne,dne,dne
NaN,SWC_echo_wcr_7_3,NaN,echo_wcr_7_3,dne,dne,dne,current,dne,dne,dne,dne,dne,dne
NaN,SWC_echo_wcr_8_1,NaN,echo_wcr_8_1,dne,dne,dne,current,dne,dne,dne,dne,dne,dne
NaN,SWC_echo_wcr_8_2,NaN,echo_wcr_8_2,dne,dne,dne,current,dne,dne,dne,dne,dne,dne
NaN,SWC_echo_wcr_8_3,NaN,echo_wcr_8_3,dne,dne,dne,current,dne,dne,dne,dne,dne,dne
NaN,,NaN,soilT_Avg_1,dne,dne,current,current,dne,dne,dne,dne,dne,dne
NaN,,NaN,soilT_Avg_2,dne,dne,current,current,dne,dne,dne,dne,dne,dne
NaN,,NaN,soilT_Avg_3,dne,dne,current,current,dne,dne,dne,dne,dne,dne
NaN,,NaN,soilT_Avg_4,dne,dne,current,current,dne,dne,dne,dne,dne,dne
NaN,,NaN,soilT_Avg_5,dne,dne,current,current,dne,dne,dne,dne,dne,dne
NaN,,NaN,soilT_Avg_6,dne,dne,current,current,dne,dne,dne,dne,dne,dne
NaN,,NaN,soilT_Avg_7,dne,dne,current,current,dne,dne,dne,dne,dne,dne
NaN,,NaN,soilT_Avg_8,dne,dne,current,current,dne,dne,dne,dne,dne,dne
NaN,,NaN,soilT_Avg_9,dne,dne,current,current,dne,dne,dne,dne,dne,dne
NaN,,NaN,soilT_Avg_10,dne,dne,current,current,dne,dne,dne,dne,dne,dne
NaN,,NaN,soilT_Avg_11,dne,dne,current,current,dne,dne,dne,dne,dne,dne
NaN,,NaN,soilT_Avg_12,dne,dne,current,current,dne,dne,dne,dne,dne,dne
NaN,,NaN,soilT_Avg_13,dne,dne,current,current,dne,dne,dne,dne,dne,dne
NaN,,NaN,soilT_Avg_14,dne,dne,current,current,dne,dne,dne,dne,dne,dne
NaN,,NaN,soilT_Avg_15,dne,dne,current,current,dne,dne,dne,dne,dne,dne
NaN,,NaN,soilT_Avg_16,dne,dne,current,current,dne,dne,dne,dne,dne,dne
