changeFrom,changeTo,first,last
AirTC_10_Avg,AirTC_3p7_Avg,2014-01-10 16:00,2014-03-14 10:30
AirTC_3p7_Avg,AirTC_10_Avg,2014-01-10 16:00,2014-03-14 10:30
RH_10_Avg,RH_3p7_Avg,2014-01-10 16:00,2014-03-14 10:30
RH_3p7_Avg,RH_10_Avg,2014-01-10 16:00,2014-03-14 10:30
