current,previous1,previous2,previous3
sap_P2b_AVG,Sap_P2b_AVG,,
sap_P3a_AVG,Sap_P3a_AVG,,
sap_P3b_AVG,Sap_P3b_AVG,,
sap_P4a_AVG,Sap_P4a_AVG,,
sap_P4b_AVG,Sap_P4b_AVG,,
sap_P5a_AVG,Sap_P5a_AVG,,
sap_P5b_AVG,Sap_P5b_AVG,,
sap_J1a_AVG,Sap_J1a_AVG,,
sap_J1b_AVG,Sap_J1b_AVG,,
sap_J2a_AVG,Sap_J2a_AVG,,
sap_J2b_AVG,Sap_J2b_AVG,,
sap_J3a_AVG,Sap_J3a_AVG,,
sap_J3b_AVG,Sap_J3b_AVG,,
sap_J4a_AVG,Sap_J4a_AVG,,
sap_J4b_AVG,Sap_J4b_AVG,,
sap_J5a_AVG,Sap_J5a_AVG,,
sap_J5b_AVG,Sap_J5b_AVG,,
SCO2_P15_AVG,,,
SCO2_P110_AVG,,,
SCO2_P120_AVG,,,
SCO2_P140_AVG,,,
SCO2_P25_AVG,,,
SCO2_P210_AVG,,,
SCO2_P220_AVG,,,
SCO2_P240_AVG,,,
SCO2_P35_AVG,,,
SCO2_P310_AVG,,,
SCO2_P330_AVG,,,
SCO2_P25_AVG,,,
SCO2_P210_AVG,,,
SCO2_P230_AVG,,,
SCO2_P45_AVG,,,
SCO2_P410_AVG,,,
SCO2_P430_AVG,,,
SCO2_P55_AVG,,,
SCO2_P510_AVG,,,
SCO2_P530_AVG,,,
SCO2_J15_AVG,,,
SCO2_J110_AVG,,,
SCO2_J130_AVG,,,
SCO2_J25_AVG,,,
SCO2_J120_AVG,,,
SCO2_J150_AVG,,,
SCO2_J220_AVG,,,
SCO2_J250_AVG,,,
SCO2_J210_AVG,,,
SCO2_J230_AVG,,,
NDVIu532_AVG,,,
NDVIu568_AVG,,,
NDVIu676_AVG,,,
NDVIu798_AVG,,,
NDVId532_AVG,,,
NDVId568_AVG,,,
NDVId676_AVG,,,
NDVId4_AVG,NDVId798_AVG,,
echo_wcr_1_1,,,
echo_wcr_1_2,,,
echo_wcr_1_3,,,
echo_wcr_2_1,,,
echo_wcr_2_2,,,
echo_wcr_2_3,,,
echo_wcr_3_1,,,
echo_wcr_3_2,,,
echo_wcr_3_3,,,
echo_wcr_4_1,,,
echo_wcr_4_2,,,
echo_wcr_4_3,,,
echo_wcr_5_1,,,
echo_wcr_5_2,,,
echo_wcr_5_3,,,
echo_wcr_6_1,,,
echo_wcr_6_2,,,
echo_wcr_6_3,,,
echo_wcr_7_1,,,
echo_wcr_7_2,,,
echo_wcr_7_3,,,
echo_wcr_8_1,,,
echo_wcr_8_2,,,
echo_wcr_8_3,,,
soilT_Avg_1,,,
soilT_Avg_2,,,
soilT_Avg_3,,,
soilT_Avg_4,,,
soilT_Avg_5,,,
soilT_Avg_6,,,
soilT_Avg_7,,,
soilT_Avg_8,,,
soilT_Avg_9,,,
soilT_Avg_10,,,
soilT_Avg_11,,,
soilT_Avg_12,,,
soilT_Avg_13,,,
soilT_Avg_14,,,
soilT_Avg_15,,,
soilT_Avg_16,,,
soilT_Avg_17,,,
soilT_Avg_18,,,
soilT_Avg_19,,,
soilT_Avg_20,,,
soilT_Avg_21,,,
soilT_Avg_22,,,
soilT_Avg_23,,,
soilT_Avg_24,,,
soilT_Avg_25,,,
