af_mapping,qc_mapping,desc,current,cr23x_PJ_2009_01_01_0030_compilation,cr23x_PJ_2013_01_01_0030_compilation,cr23x_PJ_2014_01_01_0030,cr23x_PJ_2014_03_19_1400,cr23x_PJ_2014_03_25_1430,cr23x_PJ_2014_05_23_0930,cr23x_PJ_2014_11_12_1100,cr23x_PJ_2014_11_13_1630,cr23x_PJ_2014_12_05_1500,cr23x_PJ_2014_12_06_1030
NaN,SOILT_J2_10_AVG,NaN,T_J2_10_AVG,soilT_J2_10_AVG,soilT_J2_10_AVG,current,current,current,current,current,current,current,current
NaN,SOILT_J2_30_AVG,NaN,T_J2_30_AVG,soilT_J2_30_AVG,soilT_J2_30_AVG,current,current,current,current,current,current,current,current
NaN,SOILT_J3_5_AVG,NaN,T_J3_5_AVG,soilT_J3_5_AVG,soilT_J3_5_AVG,current,current,current,current,current,current,current,current
NaN,SOILT_J3_10_AVG,NaN,T_J3_10_AVG,soilT_J3_10_AVG,soilT_J3_10_AVG,current,current,current,current,current,current,current,current
NaN,SOILT_J3_30_AVG,NaN,T_J3_30_AVG,soilT_J3_30_AVG,soilT_J3_30_AVG,current,current,current,current,current,current,current,current
NaN,SOILT_O1_5_AVG,NaN,T_O1_5_AVG,soilT_O1_5_AVG,soilT_O1_5_AVG,current,current,current,current,current,current,current,current
NaN,SOILT_O1_10_AVG,NaN,T_O1_10_AVG,soilT_O1_10_AVG,soilT_O1_10_AVG,current,current,current,current,current,current,current,current
NaN,SOILT_O1_30_AVG,NaN,T_O1_30_AVG,soilT_O1_30_AVG,soilT_O1_30_AVG,current,current,current,current,current,current,current,current
NaN,SOILT_O2_5_AVG,NaN,T_O2_5_AVG,soilT_O2_5_AVG,soilT_O2_5_AVG,current,current,current,current,current,current,current,current
NaN,SOILT_O2_10_AVG,NaN,T_O2_10_AVG,soilT_O2_10_AVG,soilT_O2_10_AVG,current,current,current,current,current,current,current,current
NaN,SOILT_O2_30_AVG,NaN,T_O2_30_AVG,soilT_O2_30_AVG,soilT_O2_30_AVG,current,current,current,current,current,current,current,current
NaN,SOILT_O3_5_AVG,NaN,T_O3_5_AVG,soilT_O3_5_AVG,soilT_O3_5_AVG,current,current,current,current,current,current,current,current
NaN,SOILT_O3_10_AVG,NaN,T_O3_10_AVG,soilT_O3_10_AVG,soilT_O3_10_AVG,current,current,current,current,current,current,current,current
NaN,SOILT_O3_30_AVG,NaN,T_O3_30_AVG,soilT_O3_30_AVG,soilT_O3_30_AVG,current,current,current,current,current,current,current,current
NaN,SOILT_P4_5_AVG,NaN,T_P4_5_AVG,dne,dne,dne,dne,current,current,current,current,current,current
NaN,SOILT_P4_10_AVG,NaN,T_P4_10_AVG,dne,dne,dne,dne,current,current,current,current,current,current
NaN,SOILT_P4_30_AVG,NaN,T_P4_30_AVG,dne,dne,dne,dne,current,current,current,current,current,current
NaN,SOILT_P5_5_AVG,NaN,T_P5_5_AVG,dne,dne,dne,dne,current,current,current,current,current,current
NaN,SOILT_P5_10_AVG,NaN,T_P5_10_AVG,dne,dne,dne,dne,current,current,current,current,current,current
NaN,SOILT_P5_30_AVG,NaN,T_P5_30_AVG,dne,dne,dne,dne,current,current,current,current,current,current
NaN,SWC_P1_5_AVG,NaN,WC_P1_5_AVG,current,current,current,current,current,current,current,current,current,current
NaN,SWC_P1_10_AVG,NaN,WC_P1_10_AVG,current,current,current,current,current,current,current,current,current,current
NaN,SWC_P1_30_AVG,NaN,WC_P1_30_AVG,current,current,current,current,current,current,current,current,current,current
NaN,SWC_P2_5_AVG,NaN,WC_P2_5_AVG,current,current,current,current,current,current,current,current,current,current
NaN,SWC_P2_10_AVG,NaN,WC_P2_10_AVG,current,current,current,current,current,current,current,current,current,current
NaN,SWC_P2_30_AVG,NaN,WC_P2_30_AVG,current,current,current,current,current,current,current,current,current,current
NaN,SWC_P3_5_AVG,NaN,WC_P3_5_AVG,current,current,current,current,current,current,current,current,current,current
NaN,SWC_P3_10_AVG,NaN,WC_P3_10_AVG,current,current,current,current,current,current,current,current,current,current
NaN,SWC_P3_30_AVG,NaN,WC_P3_30_AVG,current,current,current,current,current,current,current,current,current,current
NaN,SWC_J1_5_AVG,NaN,WC_J1_5_AVG,current,current,current,current,current,current,current,current,current,current
NaN,SWC_J1_10_AVG,NaN,WC_J1_10_AVG,current,current,current,current,current,current,current,current,current,current
NaN,SWC_J1_30_AVG,NaN,WC_J1_30_AVG,current,current,current,current,current,current,current,current,current,current
NaN,SWC_J2_5_AVG,NaN,WC_J2_5_AVG,current,current,current,current,current,current,current,current,current,current
NaN,SWC_J2_10_AVG,NaN,WC_J2_10_AVG,current,current,current,current,current,current,current,current,current,current
NaN,SWC_J2_30_AVG,NaN,WC_J2_30_AVG,current,current,current,current,current,current,current,current,current,current
NaN,SWC_J3_5_AVG,NaN,WC_J3_5_AVG,current,current,current,current,current,current,current,current,current,current
NaN,SWC_J3_10_AVG,NaN,WC_J3_10_AVG,current,current,current,current,current,current,current,current,current,current
NaN,SWC_J3_30_AVG,NaN,WC_J3_30_AVG,current,current,current,current,current,current,current,current,current,current
NaN,SWC_O1_5_AVG,NaN,WC_O1_5_AVG,current,current,current,current,current,current,current,current,current,current
NaN,SWC_O1_10_AVG,NaN,WC_O1_10_AVG,current,current,current,current,current,current,current,current,current,current
NaN,SWC_O1_30_AVG,NaN,WC_O1_30_AVG,current,current,current,current,current,current,current,current,current,current
NaN,SWC_P4_5_AVG,NaN,WC_P4_5_AVG,dne,dne,dne,dne,dne,current,dne,current,dne,current
NaN,SWC_P4_10_AVG,NaN,WC_P4_10_AVG,dne,dne,dne,dne,dne,current,dne,current,dne,current
NaN,SWC_P4_30_AVG,NaN,WC_P4_30_AVG,dne,dne,dne,dne,dne,current,dne,current,dne,current
NaN,SWC_P5_5_AVG,NaN,WC_P5_5_AVG,dne,dne,dne,dne,dne,current,dne,current,dne,current
NaN,SWC_P5_10_AVG,NaN,WC_P5_10_AVG,dne,dne,dne,dne,dne,current,dne,current,dne,current
NaN,SWC_P5_30_AVG,NaN,WC_P5_30_AVG,dne,dne,dne,dne,dne,current,dne,current,dne,current
NaN,SWC_O2_5_AVG,NaN,WC_O2_5_AVG,current,current,current,current,current,current,current,current,current,current
NaN,SWC_O2_10_AVG,NaN,WC_O2_10_AVG,current,current,current,current,current,current,current,current,current,current
NaN,SWC_O2_30_AVG,NaN,WC_O2_30_AVG,current,current,current,current,current,current,current,current,current,current
NaN,SWC_O3_5_AVG,NaN,WC_O3_5_AVG,current,current,current,current,current,current,current,current,current,current
NaN,SWC_O3_10_AVG,NaN,WC_O3_10_AVG,current,current,current,current,current,current,current,current,current,current
NaN,SWC_O3_30_AVG,NaN,WC_O3_30_AVG,current,current,current,current,current,current,current,current,current,current
NaN,SHF_P1_AVG,NaN,shf_P1_AVG,current,current,current,current,current,current,current,current,current,current
NaN,SHF_P2_AVG,NaN,shf_P2_AVG,current,current,current,current,current,current,current,current,current,current
NaN,SHF_P3_AVG,NaN,shf_P3_AVG,current,current,current,current,current,current,current,current,current,current
NaN,SHF_J1_AVG,NaN,shf_J1_AVG,current,current,current,current,current,current,current,current,current,current
NaN,SHF_J2_AVG,NaN,shf_J2_AVG,current,current,current,current,current,current,current,current,current,current
NaN,SHF_J3_AVG,NaN,shf_J3_AVG,current,current,current,current,current,current,current,current,current,current
NaN,SHF_O1_AVG,NaN,shf_O1_AVG,current,current,current,current,current,current,current,current,current,current
NaN,SHF_O2_AVG,NaN,shf_O2_AVG,current,current,current,current,current,current,current,current,current,current
NaN,SHF_O3_AVG,NaN,shf_O3_AVG,current,current,current,current,current,current,current,current,current,current
NaN,TCAV_P1_AVG,NaN,tcav_pinon_1_Avg,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne
NaN,TCAV_J1_AVG,NaN,tcav_jun_1_Avg,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne
NaN,,NaN,sap_P1a_AVG,current,current,current,current,current,current,current,current,current,current
NaN,,NaN,sap_P1b_AVG,current,current,current,current,current,current,current,current,current,current
NaN,,NaN,sap_P2a_AVG,current,current,current,current,current,current,current,current,current,current
NaN,,NaN,sap_P2b_AVG,current,current,current,current,current,current,current,current,current,current
NaN,,NaN,sap_P3a_AVG,current,current,current,current,current,current,current,current,current,current
NaN,,NaN,sap_P3b_AVG,current,current,current,current,current,current,current,current,current,current
NaN,,NaN,sap_P4a_AVG,current,current,current,current,current,current,current,current,current,current
NaN,,NaN,sap_P4b_AVG,current,current,current,current,current,current,current,current,current,current
NaN,,NaN,sap_P5a_AVG,current,current,current,current,current,current,current,current,current,current
NaN,,NaN,sap_P5b_AVG,current,current,current,current,current,current,current,current,current,current
NaN,,NaN,sap_J1a_AVG,current,current,current,current,current,current,current,current,current,current
NaN,,NaN,sap_J1b_AVG,current,current,current,current,current,current,current,current,current,current
NaN,,NaN,sap_J2a_AVG,current,current,current,current,current,current,current,current,current,current
NaN,,NaN,sap_J2b_AVG,current,current,current,current,current,current,current,current,current,current
NaN,,NaN,sap_J3a_AVG,current,current,current,current,current,current,current,current,current,current
NaN,,NaN,sap_J3b_AVG,current,current,current,current,current,current,current,current,current,current
NaN,,NaN,sap_J4a_AVG,current,current,current,current,current,current,current,current,current,current
NaN,,NaN,sap_J4b_AVG,current,current,current,current,current,current,current,current,current,current
NaN,,NaN,sap_J5a_AVG,current,current,current,current,current,current,current,current,current,current
NaN,,NaN,sap_J5b_AVG,current,current,current,current,current,current,current,current,current,current
NaN,,NaN,SCO2_P15_AVG,current,current,current,dne,dne,dne,dne,dne,dne,dne
NaN,,NaN,SCO2_P110_AVG,current,current,current,dne,dne,dne,dne,dne,dne,dne
NaN,,NaN,SCO2_P120_AVG,current,current,current,dne,dne,dne,dne,dne,dne,dne
NaN,,NaN,SCO2_P140_AVG,current,current,current,dne,dne,dne,dne,dne,dne,dne
NaN,,NaN,SCO2_P25_AVG,current,current,current,current,current,current,current,current,current,current
NaN,,NaN,SCO2_P210_AVG,current,current,current,current,current,current,current,current,current,current
NaN,,NaN,SCO2_P220_AVG,current,current,current,dne,dne,dne,dne,dne,dne,dne
NaN,,NaN,SCO2_P240_AVG,current,current,current,dne,dne,dne,dne,dne,dne,dne
NaN,,NaN,SCO2_P35_AVG,dne,dne,dne,current,current,current,current,current,current,current
NaN,,NaN,SCO2_P310_AVG,dne,dne,dne,current,current,current,current,current,current,current
NaN,,NaN,SCO2_P330_AVG,dne,dne,dne,current,current,current,current,current,current,current
NaN,,NaN,SCO2_P25_AVG,current,current,current,current,current,current,current,current,current,current
NaN,,NaN,SCO2_P210_AVG,current,current,current,current,current,current,current,current,current,current
NaN,,NaN,SCO2_P230_AVG,dne,dne,dne,current,current,current,current,current,current,current
NaN,,NaN,SCO2_P45_AVG,dne,dne,dne,current,current,current,current,current,current,current
NaN,,NaN,SCO2_P410_AVG,dne,dne,dne,current,current,current,current,current,current,current
NaN,,NaN,SCO2_P430_AVG,dne,dne,dne,current,current,current,current,current,current,current
NaN,,NaN,SCO2_P55_AVG,dne,dne,dne,current,current,current,current,current,current,current
NaN,,NaN,SCO2_P510_AVG,dne,dne,dne,current,current,current,current,current,current,current
NaN,,NaN,SCO2_P530_AVG,dne,dne,dne,current,current,current,current,current,current,current
NaN,,NaN,SCO2_J15_AVG,dne,current,current,current,current,current,current,current,current,current
NaN,,NaN,SCO2_J110_AVG,dne,dne,dne,current,current,current,current,current,current,current
NaN,,NaN,SCO2_J130_AVG,dne,dne,dne,current,current,current,current,current,current,current
NaN,,NaN,SCO2_J25_AVG,dne,current,current,current,current,current,current,current,current,current
NaN,,NaN,SCO2_J120_AVG,dne,current,current,dne,dne,dne,dne,dne,dne,dne
NaN,,NaN,SCO2_J150_AVG,dne,current,current,dne,dne,dne,dne,dne,dne,dne
NaN,,NaN,SCO2_J220_AVG,dne,current,current,dne,dne,dne,dne,dne,dne,dne
NaN,,NaN,SCO2_J250_AVG,dne,current,current,dne,dne,dne,dne,dne,dne,dne
NaN,,NaN,SCO2_J210_AVG,dne,dne,dne,current,current,current,current,current,current,current
NaN,,NaN,SCO2_J230_AVG,dne,dne,dne,current,current,current,current,current,current,current
NaN,,NaN,NDVIu532_AVG,current,current,current,dne,dne,dne,dne,dne,dne,dne
NaN,,NaN,NDVIu568_AVG,current,current,current,dne,dne,dne,dne,dne,dne,dne
NaN,,NaN,NDVIu676_AVG,current,current,current,dne,dne,dne,dne,dne,dne,dne
NaN,,NaN,NDVIu798_AVG,current,current,current,dne,dne,dne,dne,dne,dne,dne
NaN,,NaN,NDVId532_AVG,current,current,current,dne,dne,dne,dne,dne,dne,dne
NaN,,NaN,NDVId568_AVG,current,current,current,dne,dne,dne,dne,dne,dne,dne
NaN,,NaN,NDVId676_AVG,current,current,current,dne,dne,dne,dne,dne,dne,dne
