current,TOA5_PJ_girdle_2009_02_23_1530,TOA5_PJ_girdle_2009_04_28_1130,TOA5_PJ_girdle_2010_05_18_1500,TOA5_PJ_girdle_2013_07_03_1530,TOA5_PJ_girdle_2014_01_10_1530,TOA5_PJ_girdle_2014_03_26_1200
tdrWC_J1_5_AVG,dne,dne,dne,dne,dne,dne
tdrWC_J1_10_AVG,dne,dne,dne,dne,dne,dne
tdrWC_J1_30_AVG,dne,dne,dne,dne,dne,dne
tdrWC_J2_5_AVG,dne,dne,dne,dne,dne,dne
tdrWC_J2_10_AVG,dne,dne,dne,dne,dne,dne
tdrWC_J2_30_AVG,dne,dne,dne,dne,dne,dne
tdrWC_J3_5_AVG,dne,dne,dne,dne,dne,dne
tdrWC_J3_10_AVG,dne,dne,dne,dne,dne,dne
tdrWC_J3_30_AVG,dne,dne,dne,dne,dne,dne
tdrWC_O1_5_AVG,dne,dne,dne,dne,dne,dne
tdrWC_O1_10_AVG,dne,dne,dne,dne,dne,dne
tdrWC_O1_30_AVG,dne,dne,dne,dne,dne,dne
tdrWC_O2_5_AVG,dne,dne,dne,dne,dne,dne
tdrWC_O2_10_AVG,dne,dne,dne,dne,dne,dne
tdrWC_O2_30_AVG,dne,dne,dne,dne,dne,dne
tdrWC_O3_5_AVG,dne,dne,dne,dne,dne,dne
tdrWC_O3_10_AVG,dne,dne,dne,dne,dne,dne
tdrWC_O3_30_AVG,dne,dne,dne,dne,dne,dne
shf_P1_AVG,dne,dne,dne,dne,dne,dne
shf_P2_AVG,dne,dne,dne,dne,dne,dne
shf_P3_AVG,dne,dne,dne,dne,dne,dne
shf_J1_AVG,dne,dne,dne,dne,dne,dne
shf_J2_AVG,dne,dne,dne,dne,dne,dne
shf_J3_AVG,dne,dne,dne,dne,dne,dne
shf_O1_AVG,dne,dne,dne,dne,dne,dne
shf_O2_AVG,dne,dne,dne,dne,dne,dne
shf_O3_AVG,dne,dne,dne,dne,dne,dne
hfp_cal_1,dne,dne,dne,dne,dne,dne
hfp_cal_2,dne,dne,dne,dne,dne,dne
hfp_cal_3,dne,dne,dne,dne,dne,dne
hfp_cal_4,dne,dne,dne,dne,dne,dne
hfp_cal_5,dne,dne,dne,dne,dne,dne
hfp_cal_6,dne,dne,dne,dne,dne,dne
hfp_cal_7,dne,dne,dne,dne,dne,dne
hfp_cal_8,dne,dne,dne,dne,dne,dne
hfp_cal_9,dne,dne,dne,dne,dne,dne
sap_P1a_AVG,dne,dne,dne,dne,dne,dne
sap_P1b_AVG,dne,dne,dne,dne,dne,dne
sap_P2a_AVG,dne,dne,dne,dne,dne,dne
sap_P2b_AVG,dne,dne,dne,dne,dne,dne
sap_P3a_AVG,dne,dne,dne,dne,dne,dne
sap_P3b_AVG,dne,dne,dne,dne,dne,dne
sap_P4a_AVG,dne,dne,dne,dne,dne,dne
sap_P4b_AVG,dne,dne,dne,dne,dne,dne
sap_P5a_AVG,dne,dne,dne,dne,dne,dne
sap_P5b_AVG,dne,dne,dne,dne,dne,dne
sap_J1a_AVG,dne,dne,dne,dne,dne,dne
sap_J1b_AVG,dne,dne,dne,dne,dne,dne
sap_J2a_AVG,dne,dne,dne,dne,dne,dne
sap_J2b_AVG,dne,dne,dne,dne,dne,dne
sap_J3a_AVG,dne,dne,dne,dne,dne,dne
sap_J3b_AVG,dne,dne,dne,dne,dne,dne
sap_J4a_AVG,dne,dne,dne,dne,dne,dne
sap_J4b_AVG,dne,dne,dne,dne,dne,dne
sap_J5a_AVG,dne,dne,dne,dne,dne,dne
sap_J5b_AVG,dne,dne,dne,dne,dne,dne
SCO2_P15_AVG,dne,dne,dne,dne,dne,dne
SCO2_P110_AVG,dne,dne,dne,dne,dne,dne
SCO2_P120_AVG,dne,dne,dne,dne,dne,dne
SCO2_P140_AVG,dne,dne,dne,dne,dne,dne
SCO2_P25_AVG,dne,dne,dne,dne,dne,dne
SCO2_P210_AVG,dne,dne,dne,dne,dne,dne
SCO2_P220_AVG,dne,dne,dne,dne,dne,dne
SCO2_P240_AVG,dne,dne,dne,dne,dne,dne
sap_sp1a_AVG,dne,dne,dne,dne,dne,dne
sap_sp1b_AVG,dne,dne,dne,dne,dne,dne
sap_sp2a_AVG,dne,dne,dne,dne,dne,dne
sap_sp2b_AVG,dne,dne,dne,dne,dne,dne
sap_sp3a_AVG,dne,dne,dne,dne,dne,dne
sap_sp3b_AVG,dne,dne,dne,dne,dne,dne
sap_sp4a_AVG,dne,dne,dne,dne,dne,dne
sap_sp4b_AVG,dne,dne,dne,dne,dne,dne
sap_sp5a_AVG,dne,dne,dne,dne,dne,dne
sap_sp5b_AVG,dne,dne,dne,dne,dne,dne
ref_temp_AVG,dne,dne,dne,dne,dne,dne
T_P1_5_STD,dne,dne,dne,dne,dne,dne
T_P1_10_STD,dne,dne,dne,dne,dne,dne
T_P1_30_STD,dne,dne,dne,dne,dne,dne
T_P2_5_STD,dne,dne,dne,dne,dne,dne
T_P2_10_STD,dne,dne,dne,dne,dne,dne
T_P2_30_STD,dne,dne,dne,dne,dne,dne
T_P3_5_STD,dne,dne,dne,dne,dne,dne
T_P3_10_STD,dne,dne,dne,dne,dne,dne
T_P3_30_STD,dne,dne,dne,dne,dne,dne
shf_P1_STD,dne,dne,dne,dne,dne,dne
shf_P2_STD,dne,dne,dne,dne,dne,dne
shf_P3_STD,dne,dne,dne,dne,dne,dne
shf_J1_STD,dne,dne,dne,dne,dne,dne
shf_J2_STD,dne,dne,dne,dne,dne,dne
shf_J3_STD,dne,dne,dne,dne,dne,dne
shf_O1_STD,dne,dne,dne,dne,dne,dne
shf_O2_STD,dne,dne,dne,dne,dne,dne
shf_O3_STD,dne,dne,dne,dne,dne,dne
shfmV_P1_STD,dne,dne,dne,dne,dne,dne
shfmV_P2_STD,dne,dne,dne,dne,dne,dne
shfmV_P3_STD,dne,dne,dne,dne,dne,dne
shfmV_J1_STD,dne,dne,dne,dne,dne,dne
shfmV_J2_STD,dne,dne,dne,dne,dne,dne
shfmV_J3_STD,dne,dne,dne,dne,dne,dne
shfmV_O1_STD,dne,dne,dne,dne,dne,dne
shfmV_O2_STD,dne,dne,dne,dne,dne,dne
shfmV_O3_STD,dne,dne,dne,dne,dne,dne
ref_temp_STD,dne,dne,dne,dne,dne,dne
shfmV_P1_AVG,dne,dne,dne,dne,dne,dne
shfmV_P2_AVG,dne,dne,dne,dne,dne,dne
shfmV_P3_AVG,dne,dne,dne,dne,dne,dne
shfmV_J1_AVG,dne,dne,dne,dne,dne,dne
shfmV_J2_AVG,dne,dne,dne,dne,dne,dne
shfmV_J3_AVG,dne,dne,dne,dne,dne,dne
shfmV_O1_AVG,dne,dne,dne,dne,dne,dne
shfmV_O2_AVG,dne,dne,dne,dne,dne,dne
shfmV_O3_AVG,dne,dne,dne,dne,dne,dne
SCO2_J15_AVG,dne,dne,dne,dne,dne,dne
SCO2_J120_AVG,dne,dne,dne,dne,dne,dne
SCO2_J150_AVG,dne,dne,dne,dne,dne,dne
SCO2_J25_AVG,dne,dne,dne,dne,dne,dne
SCO2_J220_AVG,dne,dne,dne,dne,dne,dne
SCO2_J250_AVG,dne,dne,dne,dne,dne,dne
