current,TOA5_JSav_soilwcr_2012_05_02_1130,TOA5_JSav_soilwcr_2014_01_17_1600
Soil_CO2_J1_20_Avg,dne,dne
Soil_CO2_J1_40_Avg,dne,dne
Soil_CO2_J1_100_Avg,dne,dne
Soil_CO2_J2_5_Avg,dne,dne
Soil_CO2_J2_10_Avg,dne,dne
Soil_CO2_J2_20_Avg,dne,dne
Soil_CO2_J2_40_Avg,dne,dne
Soil_CO2_J2_100_Avg,dne,dne
Soil_CO2_J3_5_Avg,dne,dne
Soil_CO2_J3_10_Avg,dne,dne
Soil_CO2_J3_20_Avg,dne,dne
Soil_CO2_J3_40_Avg,dne,dne
Soil_CO2_J3_100_Avg,dne,dne
sap_J1a_Avg,dne,dne
sap_J1b_Avg,dne,dne
sap_J2a_Avg,dne,dne
sap_J2b_Avg,dne,dne
sap_J3a_Avg,dne,dne
sap_J3b_Avg,dne,dne
sap_J4a_Avg,dne,dne
sap_J4b_Avg,dne,dne
sap_J5a_Avg,dne,dne
sap_J5b_Avg,dne,dne
shf_o1_Avg,dne,dne
shf_o2_Avg,dne,dne
shf_o3_Avg,dne,dne
shf_j1_Avg,dne,dne
shf_j2_Avg,dne,dne
shf_j3_Avg,dne,dne
tcav_j1_Avg,dne,dne
tcav_j2_Avg,dne,dne
tcav_j3_Avg,dne,dne
tcav_01_Avg,dne,dne
tcav_o2_Avg,dne,dne
tcav_o3_Avg,dne,dne
