changeFrom,changeTo,first,last
AirTC_10_Avg,AirTC_3p7_Avg,2014-01-10,2014-03-14
AirTC_3p7_Avg,AirTC_10_Avg,2014-01-10,2014-03-14
RH_10_Avg,RH_3p7_Avg,2014-01-10,2014-03-14
RH_3p7_Avg,RH_10_Avg,2014-01-10,2014-03-14
