current,TOA5_JSav_2012_12_10_1130,TOA5_JSav_2013_10_22_1300,TOA5_JSav_2014_01_10_1030,TOA5_JSav_2014_02_07_1130,TOA5_JSav_2014_02_25_1400,TOA5_JSav_2014_02_27_1800,TOA5_JSav_2014_03_12_1500,TOA5_JSav_2014_04_15_1000
SoilT_J1_30_Avg,soilT_juniper_1_22p5,soilT_juniper_1_22p5,SoilT_J1_22p5_Avg,SoilT_J1_22p5_Avg,SoilT_J1_22p5_Avg,SoilT_J1_22p5_Avg,SoilT_J1_22p5_Avg,current
SoilT_J1_5_Avg,soilT_juniper_1_2p5,soilT_juniper_1_2p5,SoilT_J1_2p5_Avg,SoilT_J1_2p5_Avg,SoilT_J1_2p5_Avg,SoilT_J1_2p5_Avg,SoilT_J1_2p5_Avg,current
SoilT_J2_10_Avg,soilT_juniper_2_12p5,soilT_juniper_2_12p5,SoilT_J2_12p5_Avg,SoilT_J2_12p5_Avg,SoilT_J2_12p5_Avg,SoilT_J2_12p5_Avg,SoilT_J2_12p5_Avg,current
SoilT_J2_30_Avg,soilT_juniper_2_22p5,soilT_juniper_2_22p5,SoilT_J2_22p5_Avg,SoilT_J2_22p5_Avg,SoilT_J2_22p5_Avg,SoilT_J2_22p5_Avg,SoilT_J2_22p5_Avg,current
SoilT_J2_5_Avg,soilT_juniper_2_2p5,soilT_juniper_2_2p5,SoilT_J2_2p5_Avg,SoilT_J2_2p5_Avg,SoilT_J2_2p5_Avg,SoilT_J2_2p5_Avg,SoilT_J2_2p5_Avg,current
SoilT_J3_10_Avg,soilT_juniper_3_12p5,soilT_juniper_3_12p5,SoilT_J3_12p5_Avg,SoilT_J3_12p5_Avg,SoilT_J3_12p5_Avg,SoilT_J3_12p5_Avg,SoilT_J3_12p5_Avg,current
SoilT_J3_30_Avg,soilT_juniper_3_22p5,soilT_juniper_3_22p5,SoilT_J3_22p5_Avg,SoilT_J3_22p5_Avg,SoilT_J3_22p5_Avg,SoilT_J3_22p5_Avg,SoilT_J3_22p5_Avg,current
SoilT_J3_5_Avg,soilT_juniper_3_2p5,soilT_juniper_3_2p5,SoilT_J3_2p5_Avg,SoilT_J3_2p5_Avg,SoilT_J3_2p5_Avg,SoilT_J3_2p5_Avg,SoilT_J3_2p5_Avg,current
SoilT_O1_10_Avg,soilT_open_1_12p5,soilT_open_1_12p5,SoilT_O1_12p5_Avg,SoilT_O1_12p5_Avg,SoilT_O1_12p5_Avg,SoilT_O1_12p5_Avg,SoilT_O1_12p5_Avg,current
SoilT_O1_30_Avg,soilT_open_1_22p5,soilT_open_1_22p5,SoilT_O1_22p5_Avg,SoilT_O1_22p5_Avg,SoilT_O1_22p5_Avg,SoilT_O1_22p5_Avg,SoilT_O1_22p5_Avg,current
SoilT_O1_5_Avg,soilT_open_1_2p5,soilT_open_1_2p5,SoilT_O1_2p5_Avg,SoilT_O1_2p5_Avg,SoilT_O1_2p5_Avg,SoilT_O1_2p5_Avg,SoilT_O1_2p5_Avg,current
SoilT_O2_10_Avg,soilT_open_2_12p5,soilT_open_2_12p5,SoilT_O2_12p5_Avg,SoilT_O2_12p5_Avg,SoilT_O2_12p5_Avg,SoilT_O2_12p5_Avg,SoilT_O2_12p5_Avg,current
SoilT_O2_30_Avg,soilT_open_2_22p5,soilT_open_2_22p5,SoilT_O2_22p5_Avg,SoilT_O2_22p5_Avg,SoilT_O2_22p5_Avg,SoilT_O2_22p5_Avg,SoilT_O2_22p5_Avg,current
SoilT_O2_5_Avg,soilT_open_2_2p5,soilT_open_2_2p5,SoilT_O2_2p5_Avg,SoilT_O2_2p5_Avg,SoilT_O2_2p5_Avg,SoilT_O2_2p5_Avg,SoilT_O2_2p5_Avg,current
SoilT_O3_10_Avg,soilT_open_3_12p5,soilT_open_3_12p5,SoilT_O3_12p5_Avg,SoilT_O3_12p5_Avg,SoilT_O3_12p5_Avg,SoilT_O3_12p5_Avg,SoilT_O3_12p5_Avg,current
SoilT_O3_5_Avg,soilT_open_3_2p5,soilT_open_3_2p5,SoilT_O3_2p5_Avg,SoilT_O3_2p5_Avg,SoilT_O3_2p5_Avg,SoilT_O3_2p5_Avg,SoilT_O3_2p5_Avg,current
sap_J1a_Avg,sap_Avg_1,sap_Avg_1,current,current,current,current,current,current
sap_J1b_Avg,sap_Avg_2,sap_Avg_2,current,current,current,current,current,current
sap_J2a_Avg,sap_Avg_3,sap_Avg_3,current,current,current,current,current,current
sap_J2b_Avg,sap_Avg_4,sap_Avg_4,current,current,current,current,current,current
sap_J3a_Avg,sap_Avg_5,sap_Avg_5,current,current,current,current,current,current
sap_J3b_Avg,sap_Avg_6,sap_Avg_6,current,current,current,current,current,current
sap_J4a_Avg,sap_Avg_7,sap_Avg_7,current,current,current,current,current,current
sap_J4b_Avg,sap_Avg_8,sap_Avg_8,current,current,current,current,current,current
sap_J5a_Avg,sap_Avg_9,sap_Avg_9,current,current,current,current,current,current
sap_J5b_Avg,sap_Avg_10,sap_Avg_10,current,current,current,current,current,current
shf_j1_Avg,dne,juniper_east_Avg,shf_juniper_east_Avg,shf_juniper_east_Avg,current,shf_j2_Avg,current,current
shf_j2_Avg,dne,juniper_west_Avg,shf_juniper_west_Avg,shf_juniper_west_Avg,current,shf_j1_Avg,current,current
shf_o1_Avg,dne,open_north_Avg,shf_open_north_Avg,shf_open_north_Avg,current,current,current,current
shf_o2_Avg,dne,open_south_Avg,shf_open_south_Avg,shf_open_south_Avg,current,current,current,current
tcav_01_Avg,dne,dne,dne,dne,tcav_o1_Avg,tcav_o1_Avg,current,current
