changeFrom,changeTo,first,last
shf_j1_Avg,shf_j2_Avg,2014-02-27 18:00,2014-02-27 18:00
shf_j2_Avg,shf_j1_Avg,2014-02-27 18:00,2014-02-27 18:00
cs616_wcr_16,cs616_wcr_17,2009-07-08 16:00,2010-03-18 13:00
cs616_wcr_17,cs616_wcr_18,2009-07-08 16:00,2010-03-18 13:00
cs616_wcr_18,cs616_wcr_16,2009-07-08 16:00,2010-03-18 13:00
