af_mapping,qc_mapping,desc,current,TOA5_JSav_cr1000_2012_05_02_1130,TOA5_JSav_cr1000_2014_01_17_1600
NaN,,NaN,SWC_O3_30_Avg_calc,swc_o3_32p5_avg,dne
NaN,,NaN,SWC_J3_5_Avg_calc,swc_j3_2p5_avg,dne
NaN,,NaN,SWC_J3_10_Avg_calc,swc_j3_12p5_avg,dne
NaN,,NaN,SWC_J3_30_Avg_calc,swc_j3_32p5_avg,dne
NaN,SOILT_AVG,NaN,Tsoil_Avg,dne,dne
NaN,SOILT_O1_5_AVG,NaN,SoilT_O1_5_Avg,dne,dne
NaN,SOILT_O1_10_AVG,NaN,SoilT_O1_10_Avg,dne,dne
NaN,SOILT_O1_20_AVG,NaN,SoilT_O1_20_Avg,dne,dne
NaN,SOILT_O1_30_AVG,NaN,SoilT_O1_30_Avg,dne,dne
NaN,SOILT_O1_62_AVG,NaN,SoilT_O1_62_Avg,dne,dne
NaN,SOILT_O2_5_AVG,NaN,SoilT_O2_5_Avg,dne,dne
NaN,SOILT_O2_10_AVG,NaN,SoilT_O2_10_Avg,dne,dne
NaN,SOILT_O2_20_AVG,NaN,SoilT_O2_20_Avg,dne,dne
NaN,SOILT_O2_30_AVG,NaN,SoilT_O2_30_Avg,dne,dne
NaN,SOILT_O2_62_AVG,NaN,SoilT_O2_62_Avg,dne,dne
NaN,SOILT_E1_5_AVG,NaN,SoilT_E1_5_Avg,dne,dne
NaN,SOILT_E1_10_AVG,NaN,SoilT_E1_10_Avg,dne,dne
NaN,SOILT_E1_20_AVG,NaN,SoilT_E1_20_Avg,dne,dne
NaN,SOILT_E1_30_AVG,NaN,SoilT_E1_30_Avg,dne,dne
NaN,SOILT_E1_62_AVG,NaN,SoilT_E1_62_Avg,dne,dne
NaN,SOILT_J1_5_AVG,NaN,SoilT_J1_5_Avg,dne,dne
NaN,SOILT_J1_10_AVG,NaN,SoilT_J1_10_Avg,dne,dne
NaN,SOILT_J1_20_AVG,NaN,SoilT_J1_20_Avg,dne,dne
NaN,SOILT_J1_30_AVG,NaN,SoilT_J1_30_Avg,dne,dne
NaN,SOILT_J1_62_AVG,NaN,SoilT_J1_62_Avg,dne,dne
NaN,SOILT_J2_5_AVG,NaN,SoilT_J2_5_Avg,dne,dne
NaN,SOILT_J2_10_AVG,NaN,SoilT_J2_10_Avg,dne,dne
NaN,SOILT_J2_20_AVG,NaN,SoilT_J2_20_Avg,dne,dne
NaN,SOILT_J2_30_AVG,NaN,SoilT_J2_30_Avg,dne,dne
NaN,SOILT_J2_62_AVG,NaN,SoilT_J2_62_Avg,dne,dne
NaN,SOILT_J3_5_AVG,NaN,SoilT_J3_5_Avg,dne,dne
NaN,SOILT_J3_10_AVG,NaN,SoilT_J3_10_Avg,dne,dne
NaN,SOILT_J3_30_AVG,NaN,SoilT_J3_30_Avg,dne,dne
NaN,SOILT_O3_5_AVG,NaN,SoilT_O3_5_Avg,dne,dne
NaN,SOILT_O3_10_AVG,NaN,SoilT_O3_10_Avg,dne,dne
NaN,SOILT_O3_30_AVG,NaN,SoilT_03_30_Avg,dne,dne
NaN,SOILCO2_O1_5_AVG,NaN,Soil_CO2_O1_5_Avg,dne,dne
NaN,SOILCO2_O1_10_AVG,NaN,Soil_CO2_O1_10_Avg,dne,dne
NaN,SOILCO2_O1_20_AVG,NaN,Soil_CO2_O1_20_Avg,dne,dne
NaN,SOILCO2_O1_40_AVG,NaN,Soil_CO2_O1_40_Avg,dne,dne
NaN,SOILCO2_O1_100_AVG,NaN,Soil_CO2_O1_100_Avg,dne,dne
NaN,SOILCO2_E1_5_AVG,NaN,Soil_CO2_E1_5_Avg,dne,dne
NaN,SOILCO2_E1_10_AVG,NaN,Soil_CO2_E1_10_Avg,dne,dne
NaN,SOILCO2_E1_20_AVG,NaN,Soil_CO2_E1_20_Avg,dne,dne
NaN,SOILCO2_E1_40_AVG,NaN,Soil_CO2_E1_40_Avg,dne,dne
NaN,SOILCO2_E1_100_AVG,NaN,Soil_CO2_E1_100_Avg,dne,dne
NaN,SOILCO2_J1_5_AVG,NaN,Soil_CO2_J1_5_Avg,dne,dne
NaN,SOILCO2_J1_10_AVG,NaN,Soil_CO2_J1_10_Avg,dne,dne
NaN,SOILCO2_J1_20_AVG,NaN,Soil_CO2_J1_20_Avg,dne,dne
NaN,SOILCO2_J1_40_AVG,NaN,Soil_CO2_J1_40_Avg,dne,dne
NaN,SOILCO2_J1_100_AVG,NaN,Soil_CO2_J1_100_Avg,dne,dne
NaN,SOILCO2_J2_5_AVG,NaN,Soil_CO2_J2_5_Avg,dne,dne
NaN,SOILCO2_J2_10_AVG,NaN,Soil_CO2_J2_10_Avg,dne,dne
NaN,SOILCO2_J2_20_AVG,NaN,Soil_CO2_J2_20_Avg,dne,dne
NaN,SOILCO2_J2_40_AVG,NaN,Soil_CO2_J2_40_Avg,dne,dne
NaN,SOILCO2_J2_100_AVG,NaN,Soil_CO2_J2_100_Avg,dne,dne
NaN,SOILCO2_J3_5_AVG,NaN,Soil_CO2_J3_5_Avg,dne,dne
NaN,SOILCO2_J3_10_AVG,NaN,Soil_CO2_J3_10_Avg,dne,dne
NaN,SOILCO2_J3_20_AVG,NaN,Soil_CO2_J3_20_Avg,dne,dne
NaN,SOILCO2_J3_40_AVG,NaN,Soil_CO2_J3_40_Avg,dne,dne
NaN,SOILCO2_J3_100_AVG,NaN,Soil_CO2_J3_100_Avg,dne,dne
NaN,SAP_J1a_AVG,NaN,sap_J1a_Avg,dne,dne
NaN,SAP_J1b_AVG,NaN,sap_J1b_Avg,dne,dne
NaN,SAP_J2a_AVG,NaN,sap_J2a_Avg,dne,dne
NaN,SAP_J2b_AVG,NaN,sap_J2b_Avg,dne,dne
NaN,SAP_J3a_AVG,NaN,sap_J3a_Avg,dne,dne
NaN,SAP_J3b_AVG,NaN,sap_J3b_Avg,dne,dne
NaN,SAP_J4a_AVG,NaN,sap_J4a_Avg,dne,dne
NaN,SAP_J4b_AVG,NaN,sap_J4b_Avg,dne,dne
NaN,SAP_J5a_AVG,NaN,sap_J5a_Avg,dne,dne
NaN,SAP_J5b_AVG,NaN,sap_J5b_Avg,dne,dne
NaN,SHF_O1_AVG,NaN,shf_o1_Avg,dne,dne
NaN,SHF_O2_AVG,NaN,shf_o2_Avg,dne,dne
NaN,SHF_O3_AVG,NaN,shf_o3_Avg,dne,dne
NaN,SHF_J1_AVG,NaN,shf_j1_Avg,dne,dne
NaN,SHF_J2_AVG,NaN,shf_j2_Avg,dne,dne
NaN,SHF_J3_AVG,NaN,shf_j3_Avg,dne,dne
NaN,TCAV_J1_AVG,NaN,tcav_j1_Avg,dne,dne
NaN,TCAV_J2_AVG,NaN,tcav_j2_Avg,dne,dne
NaN,TCAV_J3_AVG,NaN,tcav_j3_Avg,dne,dne
NaN,TCAV_O1_AVG,NaN,tcav_01_Avg,dne,dne
NaN,TCAV_O2_AVG,NaN,tcav_o2_Avg,dne,dne
NaN,TCAV_O3_AVG,NaN,tcav_o3_Avg,dne,dne
