af_mapping,qc_mapping,desc,current,cr23x_PJ_girdle_2009_01_01_0030_compilation,cr23x_PJ_girdle_2012_01_01_0030_compilation,cr23x_PJ_girdle_2013_01_01_0030_compilation,cr23x_PJ_girdle_2014_01_01_0030,cr23x_PJ_girdle_2014_03_26_1130,cr23x_PJ_girdle_2014_08_28_1130
NaN,,NaN,par_facedown_Avg,dne,dne,dne,dne,dne,dne
NaN,,NaN,par_faceup_Avg,dne,dne,dne,dne,dne,dne
NaN,,NaN,rho_a_mean_Avg,dne,dne,dne,dne,dne,dne
NaN,,NaN,sig_lck_f_Tot,dne,dne,dne,dne,dne,dne
NaN,,NaN,CG3UpCo_Avg,dne,dne,dne,dne,dne,dne
NaN,,NaN,CG3DnCo_Avg,dne,dne,dne,dne,dne,dne
NaN,,NaN,NetRs_Avg,dne,dne,dne,dne,dne,dne
NaN,,NaN,NetRl_Avg,dne,dne,dne,dne,dne,dne
NaN,,NaN,NetTot_Avg,dne,dne,dne,dne,dne,dne
NaN,,NaN,Rad_long_Dn_Avg,dne,dne,dne,dne,dne,dne
NaN,,NaN,Rad_long_Up_Avg,dne,dne,dne,dne,dne,dne
NaN,,NaN,Rad_short_Up_Avg,dne,dne,dne,dne,dne,dne
NaN,,NaN,Rad_short_Dn_Avg,dne,dne,dne,dne,dne,dne
NaN,,NaN,CNR1TC_Avg,dne,dne,dne,dne,dne,dne
NaN,,NaN,canopyE_IRT_Avg,dne,dne,dne,dne,dne,dne
NaN,,NaN,h2o_hmp_mean_Avg,dne,dne,dne,dne,dne,dne
NaN,SOILT_AVG,NaN,Tsoil_Avg,dne,dne,dne,dne,dne,dne
NaN,SOILT_P1_5_AVG,NaN,T_P1_5_AVG,soilT_P1_5_AVG,soilT_P1_5_AVG,soilT_P1_5_AVG,current,current,current
NaN,SOILT_P1_10_AVG,NaN,T_P1_10_AVG,soilT_P1_10_AVG,soilT_P1_10_AVG,soilT_P1_10_AVG,current,current,current
NaN,SOILT_P1_30_AVG,NaN,T_P1_30_AVG,soilT_P1_30_AVG,soilT_P1_30_AVG,soilT_P1_30_AVG,current,current,current
NaN,SOILT_P2_5_AVG,NaN,T_P2_5_AVG,soilT_P2_5_AVG,soilT_P2_5_AVG,soilT_P2_5_AVG,current,current,current
NaN,SOILT_P2_10_AVG,NaN,T_P2_10_AVG,soilT_P2_10_AVG,soilT_P2_10_AVG,soilT_P2_10_AVG,current,current,current
NaN,SOILT_P2_30_AVG,NaN,T_P2_30_AVG,soilT_P2_30_AVG,soilT_P2_30_AVG,soilT_P2_30_AVG,current,current,current
NaN,SOILT_P3_5_AVG,NaN,T_P3_5_AVG,soilT_P3_5_AVG,soilT_P3_5_AVG,soilT_P3_5_AVG,current,current,current
NaN,SOILT_P3_10_AVG,NaN,T_P3_10_AVG,soilT_P3_10_AVG,soilT_P3_10_AVG,soilT_P3_10_AVG,current,current,current
NaN,SOILT_P3_30_AVG,NaN,T_P3_30_AVG,soilT_P3_30_AVG,soilT_P3_30_AVG,soilT_P3_30_AVG,current,current,current
NaN,SOILT_J1_5_AVG,NaN,T_J1_5_AVG,soilT_J1_5_AVG,soilT_J1_5_AVG,soilT_J1_5_AVG,current,current,current
NaN,SOILT_J1_10_AVG,NaN,T_J1_10_AVG,soilT_J1_10_AVG,soilT_J1_10_AVG,soilT_J1_10_AVG,current,current,current
NaN,SOILT_J1_30_AVG,NaN,T_J1_30_AVG,soilT_J1_30_AVG,soilT_J1_30_AVG,soilT_J1_30_AVG,current,current,current
NaN,SOILT_J2_5_AVG,NaN,T_J2_5_AVG,soilT_J2_5_AVG,soilT_J2_5_AVG,soilT_J2_5_AVG,current,current,current
NaN,SOILT_J2_10_AVG,NaN,T_J2_10_AVG,soilT_J2_10_AVG,soilT_J2_10_AVG,soilT_J2_10_AVG,current,current,current
NaN,SOILT_J2_30_AVG,NaN,T_J2_30_AVG,soilT_J2_30_AVG,soilT_J2_30_AVG,soilT_J2_30_AVG,current,current,current
NaN,SOILT_J3_5_AVG,NaN,T_J3_5_AVG,soilT_J3_5_AVG,soilT_J3_5_AVG,soilT_J3_5_AVG,current,current,current
NaN,SOILT_J3_10_AVG,NaN,T_J3_10_AVG,soilT_J3_10_AVG,soilT_J3_10_AVG,soilT_J3_10_AVG,current,current,current
NaN,SOILT_J3_30_AVG,NaN,T_J3_30_AVG,soilT_J3_30_AVG,soilT_J3_30_AVG,soilT_J3_30_AVG,current,current,current
NaN,SOILT_O1_5_AVG,NaN,T_O1_5_AVG,soilT_O1_5_AVG,soilT_O1_5_AVG,soilT_O1_5_AVG,current,current,current
NaN,SOILT_O1_10_AVG,NaN,T_O1_10_AVG,soilT_O1_10_AVG,soilT_O1_10_AVG,soilT_O1_10_AVG,current,current,current
NaN,SOILT_O1_30_AVG,NaN,T_O1_30_AVG,soilT_O1_30_AVG,soilT_O1_30_AVG,soilT_O1_30_AVG,current,current,current
NaN,SOILT_O2_5_AVG,NaN,T_O2_5_AVG,soilT_O2_5_AVG,soilT_O2_5_AVG,soilT_O2_5_AVG,current,current,current
NaN,SOILT_O2_10_AVG,NaN,T_O2_10_AVG,soilT_O2_10_AVG,soilT_O2_10_AVG,soilT_O2_10_AVG,current,current,current
NaN,SOILT_O2_30_AVG,NaN,T_O2_30_AVG,soilT_O2_30_AVG,soilT_O2_30_AVG,soilT_O2_30_AVG,current,current,current
NaN,SOILT_O3_5_AVG,NaN,T_O3_5_AVG,soilT_O3_5_AVG,soilT_O3_5_AVG,soilT_O3_5_AVG,current,current,current
NaN,SOILT_O3_10_AVG,NaN,T_O3_10_AVG,soilT_O3_10_AVG,soilT_O3_10_AVG,soilT_O3_10_AVG,current,current,current
NaN,SOILT_O3_30_AVG,NaN,T_O3_30_AVG,soilT_O3_30_AVG,soilT_O3_30_AVG,soilT_O3_30_AVG,current,current,current
NaN,SWC_P1_5_AVG,NaN,WC_P1_5_AVG,current,current,current,current,current,current
NaN,SWC_P1_10_AVG,NaN,WC_P1_10_AVG,current,current,current,current,current,current
NaN,SWC_P1_30_AVG,NaN,WC_P1_30_AVG,current,current,current,current,current,current
