current,previous1,previous2,previous3,previous4,previous5
AirTC_Avg,t_hmp_mean,,,,
RH_Avg,rh_hmp,,,,
co2_mean_Avg,co2_mean,,,,
co2_um_m_Avg,co2_u_mol_Avg,,,,
stdev_co2,cov_co2_co2,,,,
stdev_h2o,cov_h2o_h2o,,,,
stdev_Ts,cov_Ts_Ts,,,,
cov_co2_Ux,cov_Ux_co2,,,,
cov_h2o_Ux,cov_Ux_h2o,,,,
cov_Ts_Ux,cov_Ux_Ts,,,,
stdev_Ux,cov_Ux_Ux,,,,
cov_Ux_Uy,cov_Uy_Ux,,,,
cov_co2_Uy,cov_Uy_co2,,,,
cov_h2o_Uy,cov_Uy_h2o,,,,
cov_Ts_Uy,cov_Uy_Ts,,,,
stdev_Uy,cov_Uy_Uy,,,,
cov_co2_Uz,cov_Uz_co2,,,,
cov_h2o_Uz,cov_Uz_h2o,,,,
cov_Ts_Uz,cov_Uz_Ts,,,,
cov_Ux_Uz,cov_Uz_Ux,,,,
cov_Uy_Uz,cov_Uz_Uy,,,,
stdev_Uz,cov_Uz_Uz,,,,
e_hmp_mean_Avg,e_Avg,,,,
h2o_mean_Avg,h2o_Avg,,,,
h2o_hmp_mean_Avg,h2o_hmp_mean,,,,
h2o_mm_m_Avg,h2o_m_mol_Avg,,,,
SoilT_G1_2p5_Avg,SoilT_O1_2p5_Avg_rename,mux25t_signal_Avg_1,mux25t_signal_Avg_4_rename,,
SoilT_G1_12p5_Avg,SoilT_O1_12p5_Avg_rename,mux25t_signal_Avg_2,mux25t_signal_Avg_5_rename,,
SoilT_G1_22p5_Avg,SoilT_O1_22p5_Avg_rename,mux25t_signal_Avg_3,mux25t_signal_Avg_6_rename,,
SoilT_G1_37p5_Avg,SoilT_G1_2p5_Avg_rename,mux25t_signal_Avg_4,,,
SoilT_G1_52p5_Avg,SoilT_G1_12p5_Avg_rename,mux25t_signal_Avg_5,,,
SoilT_G2_2p5_Avg,SoilT_G1_22p5_Avg_rename,mux25t_signal_Avg_6,mux25t_signal_Avg_10_rename,,
SoilT_G2_12p5_Avg,SoilT_O2_2p5_Avg_rename,mux25t_signal_Avg_7,mux25t_signal_Avg_11_rename,,
SoilT_G2_22p5_Avg,SoilT_O2_12p5_Avg_rename,mux25t_signal_Avg_8,mux25t_signal_Avg_12_rename,,
SoilT_G2_37p5_Avg,SoilT_O2_22p5_Avg_rename,mux25t_signal_Avg_9,,,
SoilT_G2_52p5_Avg,SoilT_G2_2p5_Avg_rename,mux25t_signal_Avg_10,,,
SoilT_G3_2p5_Avg,,,mux25t_signal_Avg_17_rename,,
SoilT_G3_12p5_Avg,,,mux25t_signal_Avg_18_rename,,
SoilT_G3_22p5_Avg,,,mux25t_signal_Avg_19_rename,,
SoilT_G3_37p5_Avg,,,mux25t_signal_Avg_20_rename,,
SoilT_G3_52p5_Avg,,,,,
SoilT_O1_2p5_Avg,SoilT_G2_12p5_Avg_rename,mux25t_signal_Avg_11,mux25t_signal_Avg_1_rename,,
SoilT_O1_12p5_Avg,SoilT_G2_22p5_Avg_rename,mux25t_signal_Avg_12,mux25t_signal_Avg_2_rename,,
