current,TOA5_GLand_2007_06_05_1700,TOA5_GLand_2007_11_27_1200,TOA5_GLand_2009_02_20_1530,TOA5_GLand_2009_03_05_1100,TOA5_GLand_2009_07_29_0700,TOA5_GLand_2010_05_12_1900,TOA5_GLand_2011_06_09_1630,TOA5_GLand_2011_07_27_0800,TOA5_GLand_2012_12_13_1200,TOA5_GLand_2013_12_19_1500,TOA5_GLand_2014_01_17_1730,TOA5_GLand_2014_02_17_1000,TOA5_GLand_2014_03_04_1430,TOA5_GLand_2014_05_08_1130,TOA5_GLand_2014_06_13_0830,TOA5_GLand_2014_07_11_1000,TOA5_GLand_2014_07_18_1200
SWC_G1_37p5_Avg,dne,dne,dne,dne,dne,dne,dne,swc_grass1_37p5cm_Avg,swc_grass1_37p5cm_Avg,swc_grass1_37p5cm_Avg,current,current,current,current,current,current,current
SWC_G1_52p5_Avg,dne,dne,dne,dne,dne,dne,dne,swc_grass1_52p5cm_Avg,swc_grass1_52p5cm_Avg,swc_grass1_52p5cm_Avg,current,current,current,current,current,current,current
SWC_G2_2p5_Avg,cs616_wcr_10,cs616_wcr_10,cs616_wcr_4_1,cs616_wcr_4_1,cs616_wcr_4_1,dne,dne,swc_grass2_2p5cm_Avg,swc_grass2_2p5cm_Avg,swc_grass2_2p5cm_Avg,current,current,current,current,current,current,current
SWC_G2_12p5_Avg,cs616_wcr_11,cs616_wcr_11,cs616_wcr_4_2,cs616_wcr_4_2,cs616_wcr_4_2,dne,dne,swc_grass2_12p5cm_Avg,swc_grass2_12p5cm_Avg,swc_grass2_12p5cm_Avg,current,current,current,current,current,current,current
SWC_G2_22p5_Avg,cs616_wcr_12,cs616_wcr_12,cs616_wcr_4_3,cs616_wcr_4_3,cs616_wcr_4_3,dne,dne,swc_grass2_22p5cm_Avg,swc_grass2_22p5cm_Avg,swc_grass2_22p5cm_Avg,current,current,current,current,current,current,current
SWC_G2_37p5_Avg,dne,dne,dne,dne,dne,dne,dne,swc_grass2_37p5cm_Avg,swc_grass2_37p5cm_Avg,swc_grass2_37p5cm_Avg,current,current,current,current,current,current,current
SWC_G2_52p5_Avg,dne,dne,dne,dne,dne,dne,dne,swc_grass2_52p5cm_Avg,swc_grass2_52p5cm_Avg,swc_grass2_52p5cm_Avg,current,current,current,current,current,current,current
SWC_G3_2p5_Avg,cs616_wcr_18,cs616_wcr_18,cs616_wcr_6_3,cs616_wcr_6_3,cs616_wcr_6_3,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne
SWC_G3_12p5_Avg,cs616_wcr_19,cs616_wcr_19,cs616_wcr_7_1,cs616_wcr_7_1,cs616_wcr_7_1,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne
SWC_G3_22p5_Avg,cs616_wcr_20,cs616_wcr_20,cs616_wcr_7_2,cs616_wcr_7_2,cs616_wcr_7_2,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne
SWC_G3_37p5_Avg,cs616_wcr_21,cs616_wcr_21,cs616_wcr_7_3,cs616_wcr_7_3,cs616_wcr_7_3,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne
SWC_G3_52p5_Avg,cs616_wcr_22,cs616_wcr_22,cs616_wcr_8_1,cs616_wcr_8_1,cs616_wcr_8_1,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne
SWC_O1_2p5_Avg,cs616_wcr_1,cs616_wcr_1,cs616_wcr_1_1,cs616_wcr_1_1,cs616_wcr_1_1,dne,dne,swc_open1_2p5cm_Avg,swc_open1_2p5cm_Avg,swc_open1_2p5cm_Avg,current,current,current,current,current,current,current
SWC_O1_12p5_Avg,cs616_wcr_2,cs616_wcr_2,cs616_wcr_1_2,cs616_wcr_1_2,cs616_wcr_1_2,dne,dne,swc_open1_12p5cm_Avg,swc_open1_12p5cm_Avg,swc_open1_12p5cm_Avg,current,current,current,current,current,current,current
SWC_O1_22p5_Avg,cs616_wcr_3,cs616_wcr_3,cs616_wcr_1_3,cs616_wcr_1_3,cs616_wcr_1_3,dne,dne,swc_open1_22p5cm_Avg,swc_open1_22p5cm_Avg,swc_open1_22p5cm_Avg,current,current,current,current,current,current,current
SWC_O1_37p5_Avg,dne,dne,dne,dne,dne,dne,dne,swc_open1_37p5cm_Avg,swc_open1_37p5cm_Avg,swc_open1_37p5cm_Avg,current,current,current,current,current,current,current
SWC_O1_52p5_Avg,dne,dne,dne,dne,dne,dne,dne,swc_open1_52p5cm_Avg,swc_open1_52p5cm_Avg,swc_open1_52p5cm_Avg,current,current,current,current,current,current,current
SWC_O2_2p5_Avg,cs616_wcr_7,cs616_wcr_7,cs616_wcr_3_1,cs616_wcr_3_1,cs616_wcr_3_1,dne,dne,swc_open2_2p5cm_Avg,swc_open2_2p5cm_Avg,swc_open2_2p5cm_Avg,current,current,current,current,current,current,current
SWC_O2_12p5_Avg,cs616_wcr_8,cs616_wcr_8,cs616_wcr_3_2,cs616_wcr_3_2,cs616_wcr_3_2,dne,dne,swc_open2_12p5cm_Avg,swc_open2_12p5cm_Avg,swc_open2_12p5cm_Avg,current,current,current,current,current,current,current
SWC_O2_22p5_Avg,cs616_wcr_9,cs616_wcr_9,cs616_wcr_3_3,cs616_wcr_3_3,cs616_wcr_3_3,dne,dne,swc_open2_22p5cm_Avg,swc_open2_22p5cm_Avg,swc_open2_22p5cm_Avg,current,current,current,current,current,current,current
SWC_O2_37p5_Avg,dne,dne,dne,dne,dne,dne,dne,swc_open2_37p5cm_Avg,swc_open2_37p5cm_Avg,swc_open2_37p5cm_Avg,current,current,current,current,current,current,current
SWC_O2_52p5_Avg,dne,dne,dne,dne,dne,dne,dne,swc_open2_52p5cm_Avg,swc_open2_52p5cm_Avg,swc_open2_52p5cm_Avg,current,current,current,current,current,current,current
SWC_O3_2p5_Avg,cs616_wcr_13,cs616_wcr_13,cs616_wcr_5_1,cs616_wcr_5_1,cs616_wcr_5_1,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne
SWC_O3_12p5_Avg,cs616_wcr_14,cs616_wcr_14,cs616_wcr_5_2,cs616_wcr_5_2,cs616_wcr_5_2,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne
SWC_O3_22p5_Avg,cs616_wcr_15,cs616_wcr_15,cs616_wcr_5_3,cs616_wcr_5_3,cs616_wcr_5_3,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne
SWC_O3_37p5_Avg,cs616_wcr_17,cs616_wcr_17,cs616_wcr_6_1,cs616_wcr_6_1,cs616_wcr_6_1,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne
SWC_O3_52p5_Avg,cs616_wcr_16,cs616_wcr_16,cs616_wcr_6_2,cs616_wcr_6_2,cs616_wcr_6_2,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne
cs616_unlabeled,cs616_wcr_23,cs616_wcr_23,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne
SWC_echo_G1_2p5_Avg,dne,dne,dne,dne,dne,grass1_2p5cm,echo_grass1_2p5cm_Avg,echo_grass1_2p5cm_Avg,echo_grass1_2p5cm_Avg,echo_grass1_2p5cm_Avg,current,current,current,current,dne,dne,dne
SWC_echo_G1_12p5_Avg,dne,dne,dne,dne,dne,grass1_12p5cm,echo_grass1_12p5cm_Avg,echo_grass1_12p5cm_Avg,echo_grass1_12p5cm_Avg,echo_grass1_12p5cm_Avg,current,current,current,current,dne,dne,dne
SWC_echo_G1_22p5_Avg,dne,dne,dne,dne,dne,grass1_22p5cm,echo_grass1_22p5cm_Avg,echo_grass1_22p5cm_Avg,echo_grass1_22p5cm_Avg,echo_grass1_22p5cm_Avg,current,current,current,current,dne,dne,dne
SWC_echo_G1_37p5_Avg,dne,dne,dne,dne,dne,grass1_37p5cm,echo_grass1_37p5cm_Avg,echo_grass1_37p5cm_Avg,echo_grass1_37p5cm_Avg,echo_grass1_37p5cm_Avg,current,current,current,current,dne,dne,dne
SWC_echo_G1_52p5_Avg,dne,dne,dne,dne,dne,grass1_52p5cm,echo_grass1_52p5cm_Avg,echo_grass1_52p5cm_Avg,echo_grass1_52p5cm_Avg,echo_grass1_52p5cm_Avg,current,current,current,current,dne,dne,dne
SWC_echo_G2_2p5_Avg,dne,dne,dne,dne,dne,grass2_2p5cm,echo_grass2_2p5cm_Avg,echo_grass2_2p5cm_Avg,echo_grass2_2p5cm_Avg,echo_grass2_2p5cm_Avg,current,current,current,current,dne,dne,dne
SWC_echo_G2_12p5_Avg,dne,dne,dne,dne,dne,grass2_12p5cm,echo_grass2_12p5cm_Avg,echo_grass2_12p5cm_Avg,echo_grass2_12p5cm_Avg,echo_grass2_12p5cm_Avg,current,current,current,current,dne,dne,dne
SWC_echo_G2_22p5_Avg,dne,dne,dne,dne,dne,grass2_22p5cm,echo_grass2_22p5cm_Avg,echo_grass2_22p5cm_Avg,echo_grass2_22p5cm_Avg,echo_grass2_22p5cm_Avg,current,current,current,current,dne,dne,dne
SWC_echo_G2_37p5_Avg,dne,dne,dne,dne,dne,grass2_37p5cm,echo_grass2_37p5cm_Avg,echo_grass2_37p5cm_Avg,echo_grass2_37p5cm_Avg,echo_grass2_37p5cm_Avg,current,current,current,current,dne,dne,dne
SWC_echo_G2_52p5_Avg,dne,dne,dne,dne,dne,grass2_52p5cm,echo_grass2_52p5cm_Avg,echo_grass2_52p5cm_Avg,echo_grass2_52p5cm_Avg,echo_grass2_52p5cm_Avg,current,current,current,current,dne,dne,dne
SWC_echo_O1_2p5_Avg,dne,dne,dne,dne,dne,open1_2p5cm,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne
SWC_echo_O1_12p5_Avg,dne,dne,dne,dne,dne,open1_12p5cm,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne
SWC_echo_O1_22p5_Avg,dne,dne,dne,dne,dne,open1_22p5cm,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne
SWC_echo_O1_37p5_Avg,dne,dne,dne,dne,dne,open1_37p5cm,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne
SWC_echo_O1_52p5_Avg,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne
SWC_echo_O2_2p5_Avg,dne,dne,dne,dne,dne,open2_2p5cm,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne
SWC_echo_O2_12p5_Avg,dne,dne,dne,dne,dne,open2_12p5cm,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne
SWC_echo_O2_22p5_Avg,dne,dne,dne,dne,dne,open2_22p5cm,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne
SWC_echo_O2_37p5_Avg,dne,dne,dne,dne,dne,open2_37p5cm,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne
SWC_echo_O2_52p5_Avg,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne
echo_dummy1,dne,dne,dne,dne,dne,dummy1,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne
echo_dummy2,dne,dne,dne,dne,dne,dummy2,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne
echo_dummy3,dne,dne,dne,dne,dne,dummy3,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne
echo_dummy4,dne,dne,dne,dne,dne,dummy4,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne
SoilT_G1_2p5_Avg,dne,dne,dne,dne,mux25t_signal_Avg_4,mux25t_signal_Avg_1,mux25t_signal_Avg_1,mux25t_signal_Avg_1,mux25t_signal_Avg_1,mux25t_signal_Avg_1,SoilT_O1_2p5_Avg,SoilT_O1_2p5_Avg,current,current,current,current,current
SoilT_G1_12p5_Avg,dne,dne,dne,dne,mux25t_signal_Avg_5,mux25t_signal_Avg_2,mux25t_signal_Avg_2,mux25t_signal_Avg_2,mux25t_signal_Avg_2,mux25t_signal_Avg_2,SoilT_O1_12p5_Avg,SoilT_O1_12p5_Avg,current,current,current,current,current
SoilT_G1_22p5_Avg,dne,dne,dne,dne,mux25t_signal_Avg_6,mux25t_signal_Avg_3,mux25t_signal_Avg_3,mux25t_signal_Avg_3,mux25t_signal_Avg_3,mux25t_signal_Avg_3,SoilT_O1_22p5_Avg,SoilT_O1_22p5_Avg,current,current,current,current,current
SoilT_G1_37p5_Avg,dne,dne,dne,dne,dne,mux25t_signal_Avg_4,mux25t_signal_Avg_4,mux25t_signal_Avg_4,mux25t_signal_Avg_4,mux25t_signal_Avg_4,SoilT_G1_2p5_Avg,SoilT_G1_2p5_Avg,current,current,current,current,current
SoilT_G1_52p5_Avg,dne,dne,dne,dne,dne,mux25t_signal_Avg_5,mux25t_signal_Avg_5,mux25t_signal_Avg_5,mux25t_signal_Avg_5,mux25t_signal_Avg_5,SoilT_G1_12p5_Avg,SoilT_G1_12p5_Avg,current,current,current,current,current
SoilT_G2_2p5_Avg,dne,dne,dne,dne,mux25t_signal_Avg_10,mux25t_signal_Avg_6,mux25t_signal_Avg_6,mux25t_signal_Avg_6,mux25t_signal_Avg_6,mux25t_signal_Avg_6,SoilT_G1_22p5_Avg,SoilT_G1_22p5_Avg,current,current,current,current,current
SoilT_G2_12p5_Avg,dne,dne,dne,dne,mux25t_signal_Avg_11,mux25t_signal_Avg_7,mux25t_signal_Avg_7,mux25t_signal_Avg_7,mux25t_signal_Avg_7,mux25t_signal_Avg_7,SoilT_O2_2p5_Avg,SoilT_O2_2p5_Avg,current,current,current,current,current
SoilT_G2_22p5_Avg,dne,dne,dne,dne,mux25t_signal_Avg_12,mux25t_signal_Avg_8,mux25t_signal_Avg_8,mux25t_signal_Avg_8,mux25t_signal_Avg_8,mux25t_signal_Avg_8,SoilT_O2_12p5_Avg,SoilT_O2_12p5_Avg,current,current,current,current,current
SoilT_G2_37p5_Avg,dne,dne,dne,dne,dne,mux25t_signal_Avg_9,mux25t_signal_Avg_9,mux25t_signal_Avg_9,mux25t_signal_Avg_9,mux25t_signal_Avg_9,SoilT_O2_22p5_Avg,SoilT_O2_22p5_Avg,current,current,current,current,current
SoilT_G2_52p5_Avg,dne,dne,dne,dne,dne,mux25t_signal_Avg_10,mux25t_signal_Avg_10,mux25t_signal_Avg_10,mux25t_signal_Avg_10,mux25t_signal_Avg_10,SoilT_G2_2p5_Avg,SoilT_G2_2p5_Avg,current,current,current,current,current
SoilT_G3_2p5_Avg,dne,dne,dne,dne,mux25t_signal_Avg_17,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne
SoilT_G3_12p5_Avg,dne,dne,dne,dne,mux25t_signal_Avg_18,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne
SoilT_G3_22p5_Avg,dne,dne,dne,dne,mux25t_signal_Avg_19,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne
SoilT_G3_37p5_Avg,dne,dne,dne,dne,mux25t_signal_Avg_20,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne
SoilT_G3_52p5_Avg,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne
SoilT_O1_2p5_Avg,dne,dne,dne,dne,mux25t_signal_Avg_1,mux25t_signal_Avg_11,mux25t_signal_Avg_11,mux25t_signal_Avg_11,mux25t_signal_Avg_11,mux25t_signal_Avg_11,SoilT_G2_12p5_Avg,SoilT_G2_12p5_Avg,current,current,current,current,current
SoilT_O1_12p5_Avg,dne,dne,dne,dne,mux25t_signal_Avg_2,mux25t_signal_Avg_12,mux25t_signal_Avg_12,mux25t_signal_Avg_12,mux25t_signal_Avg_12,mux25t_signal_Avg_12,SoilT_G2_22p5_Avg,SoilT_G2_22p5_Avg,current,current,current,current,current
SoilT_O1_22p5_Avg,dne,dne,dne,dne,mux25t_signal_Avg_3,mux25t_signal_Avg_13,mux25t_signal_Avg_13,mux25t_signal_Avg_13,mux25t_signal_Avg_13,mux25t_signal_Avg_13,SoilT_O3_2p5_Avg,SoilT_O3_2p5_Avg,current,current,current,current,current
SoilT_O1_37p5_Avg,dne,dne,dne,dne,dne,mux25t_signal_Avg_14,mux25t_signal_Avg_14,mux25t_signal_Avg_14,mux25t_signal_Avg_14,mux25t_signal_Avg_14,SoilT_O3_12p5_Avg,SoilT_O3_12p5_Avg,current,current,current,current,current
SoilT_O1_52p5_Avg,dne,dne,dne,dne,dne,mux25t_signal_Avg_15,mux25t_signal_Avg_15,mux25t_signal_Avg_15,mux25t_signal_Avg_15,mux25t_signal_Avg_15,SoilT_O3_22p5_Avg,SoilT_O3_22p5_Avg,current,current,current,current,current
SoilT_O2_2p5_Avg,dne,dne,dne,dne,mux25t_signal_Avg_7,mux25t_signal_Avg_16,mux25t_signal_Avg_16,mux25t_signal_Avg_16,mux25t_signal_Avg_16,mux25t_signal_Avg_16,SoilT_O337p5_Avg,SoilT_O337p5_Avg,current,current,current,current,current
SoilT_O2_12p5_Avg,dne,dne,dne,dne,mux25t_signal_Avg_8,mux25t_signal_Avg_17,mux25t_signal_Avg_17,mux25t_signal_Avg_17,mux25t_signal_Avg_17,mux25t_signal_Avg_17,SoilT_O3_52p5_Avg,SoilT_O3_52p5_Avg,current,current,current,current,current
SoilT_O2_22p5_Avg,dne,dne,dne,dne,mux25t_signal_Avg_9,mux25t_signal_Avg_18,mux25t_signal_Avg_18,mux25t_signal_Avg_18,mux25t_signal_Avg_18,mux25t_signal_Avg_18,SoilT_G3_2p5_Avg,SoilT_G3_2p5_Avg,current,current,current,current,current
SoilT_O2_37p5_Avg,dne,dne,dne,dne,dne,mux25t_signal_Avg_19,mux25t_signal_Avg_19,mux25t_signal_Avg_19,mux25t_signal_Avg_19,mux25t_signal_Avg_19,SoilT_G3_12p5_Avg,SoilT_G3_12p5_Avg,current,current,current,current,current
SoilT_O2_52p5_Avg,dne,dne,dne,dne,dne,mux25t_signal_Avg_20,mux25t_signal_Avg_20,mux25t_signal_Avg_20,mux25t_signal_Avg_20,mux25t_signal_Avg_20,SoilT_G3_22p5_Avg,SoilT_G3_22p5_Avg,current,current,current,current,current
SoilT_O3_2p5_Avg,dne,dne,dne,dne,mux25t_signal_Avg_13,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne
SoilT_O3_12p5_Avg,dne,dne,dne,dne,mux25t_signal_Avg_14,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne
SoilT_O3_22p5_Avg,dne,dne,dne,dne,mux25t_signal_Avg_15,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne
SoilT_O337p5_Avg,dne,dne,dne,dne,mux25t_signal_Avg_16,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne
SoilT_O3_52p5_Avg,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne
soil_water_T_4,current,current,current,soil_water_T_2_1,soil_water_T_2_1,current,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne
soil_water_T_5,current,current,current,soil_water_T_2_2,soil_water_T_2_2,current,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne
soil_water_T_6,current,current,current,soil_water_T_2_3,soil_water_T_2_3,current,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne
soil_water_T_10,current,current,current,soil_water_T_4_1,soil_water_T_4_1,current,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne
soil_water_T_11,current,current,current,soil_water_T_4_2,soil_water_T_4_2,current,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne
soil_water_T_12,current,current,current,soil_water_T_4_3,soil_water_T_4_3,current,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne
soil_water_T_18,current,current,current,soil_water_T_6_3,soil_water_T_6_3,current,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne
soil_water_T_19,current,current,current,soil_water_T_7_1,soil_water_T_7_1,current,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne
soil_water_T_20,current,current,current,soil_water_T_7_2,soil_water_T_7_2,current,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne
soil_water_T_21,current,current,current,soil_water_T_7_3,soil_water_T_7_3,current,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne
soil_water_T_22,current,current,current,soil_water_T_8_1,soil_water_T_8_1,current,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne
soil_water_T_1,current,current,current,soil_water_T_1_1,soil_water_T_1_1,current,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne
soil_water_T_2,current,current,current,soil_water_T_1_2,soil_water_T_1_2,current,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne
soil_water_T_3,current,current,current,soil_water_T_1_3,soil_water_T_1_3,current,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne
soil_water_T_7,current,current,current,soil_water_T_3_1,soil_water_T_3_1,current,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne
