af_mapping,qc_mapping,desc,current,TOA5_New_GLand_2009_12_15_1200,TOA5_New_GLand_2010_02_24_1600,TOA5_New_GLand_2010_03_12_1630,TOA5_New_GLand_2010_03_26_1400,TOA5_New_GLand_2010_05_05_1630,TOA5_New_GLand_2010_05_28_1600,TOA5_New_GLand_2011_06_23_1530,TOA5_New_GLand_2014_01_17_1600,TOA5_New_GLand_2014_04_02_1300,TOA5_New_GLand_2014_05_08_1300
NaN,,NaN,panelT_5000_in_Avg,panelT_5000_Avg,panelT_5000_Avg,panelT_5000_Avg,panelT_5000_Avg,panelT_5000_Avg,panelT_5000_Avg,panelT_5000_Avg,current,current,current
NaN,,NaN,CNR1TC_Avg,current,current,current,current,current,current,current,current,current,current
NaN,SWC_G1_2p5_AVG,NaN,SWC_G1_2p5_Avg,cs616_wcr_1,cs616_wcr_1_1,cs616_wcr_1,cs616_wcr_1,cs616_wcr_1,Soilwcr_g1_2p5,Soilwcr_g1_2p5,current,current,current
NaN,SWC_G1_12p5_AVG,NaN,SWC_G1_12p5_Avg,cs616_wcr_2,cs616_wcr_1_2,cs616_wcr_2,cs616_wcr_2,cs616_wcr_2,Soilwcr_g1_12p5,Soilwcr_g1_12p5,current,current,current
NaN,SWC_G1_22p5_AVG,NaN,SWC_G1_22p5_Avg,cs616_wcr_3,cs616_wcr_1_3,cs616_wcr_3,cs616_wcr_3,cs616_wcr_3,Soilwcr_g1_22p5,Soilwcr_g1_22p5,current,current,current
NaN,SWC_G1_37p5_AVG,NaN,SWC_G1_37p5_Avg,cs616_wcr_4,cs616_wcr_2_1,cs616_wcr_4,cs616_wcr_4,cs616_wcr_4,Soilwcr_g1_37p5,Soilwcr_g1_37p5,current,current,current
NaN,SWC_G1_52p5_AVG,NaN,SWC_G1_52p5_Avg,cs616_wcr_5,cs616_wcr_2_2,cs616_wcr_5,cs616_wcr_5,cs616_wcr_5,Soilwcr_g1_52p5,Soilwcr_g1_52p5,current,current,current
NaN,SWC_G2_2p5_AVG,NaN,SWC_G2_2p5_Avg,cs616_wcr_6,cs616_wcr_2_3,cs616_wcr_6,cs616_wcr_6,cs616_wcr_6,Soilwcr_g2_2p5,Soilwcr_g2_2p5,current,current,current
NaN,SWC_G2_12p5_AVG,NaN,SWC_G2_12p5_Avg,cs616_wcr_7,cs616_wcr_3_1,cs616_wcr_7,cs616_wcr_7,cs616_wcr_7,Soilwcr_g2_12p5,Soilwcr_g2_12p5,current,current,current
NaN,SWC_G2_22p5_AVG,NaN,SWC_G2_22p5_Avg,cs616_wcr_8,cs616_wcr_3_2,cs616_wcr_8,cs616_wcr_8,cs616_wcr_8,Soilwcr_g2_22p5,Soilwcr_g2_22p5,current,current,current
