changeFrom,changeTo,first,last
SWC_G1_12p5_Avg,SWC_G1_37p5_Avg,2014-01-17 16:00,2014-09-04 08:00
SWC_G1_37p5_Avg,SWC_G1_12p5_Avg,2014-01-17 16:00,2014-09-04 08:00
SoilT_O2_12p5_Avg,SoilT_O2_52p5_Avg,2010-05-05 16:30,2014-01-17 16:00
SoilT_O2_52p5_Avg,SoilT_O2_12p5_Avg,2010-05-05 16:30,2014-01-17 16:00
